Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.6385,0.25510204081632654,0.5899705014749262,0.3561887800534283,0.6627435937053237
Random Forest,0.698,0.27879799666110183,0.49262536873156343,0.35607675906183367,0.6791853363382402
Decision Tree,0.603,0.23329425556858147,0.5870206489675516,0.3338926174496644,0.6235643666341668
KNN,0.8225,0.2777777777777778,0.029498525073746312,0.05333333333333334,0.617408036882924
Gradient Boosting,0.829,0.2857142857142857,0.0058997050147492625,0.011560693641618497,0.6744879492930832
Improved DNN,0.611,0.2519774011299435,0.6578171091445427,0.36437908496732024,0.6654696765462751
