Model,Accuracy,Precision,Recall,F1,ROC-AUC
Teacher DL Baseline,0.8305,0.0,0.0,0.0,0.6597155994096744
Improved DNN,0.611,0.2519774011299435,0.6578171091445427,0.36437908496732024,0.6654696765462751
