Model,MAE,MSE,RMSE,R2,MAPE
Teacher DL Baseline,1.114733060864074,2.1222960958425263,1.4568102470268824,0.5559005700617782,22.8245547294196
Improved DNN,1.064817388105978,2.007712687790892,1.4169377854341,0.5798776325912685,21.22073116573287
