Model,MAE,MSE,RMSE,R2,MAPE
Random Forest Regressor,1.080050710498728,2.0733131369102216,1.439900391315393,0.5661504612909698,22.30594199145973
KNN Regressor,1.1912692182289017,2.4745229391909698,1.573061645070202,0.4821956140726449,25.012605974459373
Gradient Boosting Regressor,1.237542625535307,2.4998153127876623,1.5810804257809474,0.47690307797550024,25.87180710635741
Decision Tree Regressor,1.2617330731194587,2.7048695290214737,1.6446487555163485,0.4339946163738153,26.467030160911182
Linear Regression,8.23528628063611,54357.55571762211,233.14706885916905,-11373.54832731422,222.6191808480075
Improved DNN,1.064817388105978,2.007712687790892,1.4169377854341,0.5798776325912685,21.22073116573287
