Model,Accuracy,Macro-P,Macro-R,Macro-F1,Params,Train Samples,Best Epoch,Train Time,Prediction Time
M2 Basic CNN + BatchNorm + Dropout,0.9851,0.9849118991206005,0.9851559749063397,0.984999748718006,52210,54000,5,36.99547410000014,1.4825995000001058
Keras CNN,0.982,0.981863830108486,0.9820934334011604,0.9819351500982141,52138,54000,5,51.01937679999992,1.0538743999995859
PyTorch CNN,0.9767,0.9770420501032302,0.97638580947951,0.9766090361054589,52138,54000,5,148.4071426999999,2.184678399999939
NumPy CNN,0.779,0.7842865141096979,0.7742184978897872,0.7732903142044171,3418,6000,3,49.09278059999997,4.158550099999957
