Epoch,TrainLoss,Accuracy,Macro-P,Macro-R,Macro-F1
1,2.0748674869537354,0.33,0.512450600769015,0.32044300661453107,0.24834968699864501
2,1.474008245671049,0.5966666666666667,0.6292727824207528,0.5862662499037132,0.5489247057413617
3,1.013031968410979,0.7575,0.7611434261673162,0.7524078398078544,0.7516130940796837
