epoch,accuracy,loss,val_accuracy,val_loss
1,0.858129620552063,0.5156005024909973,0.9409999847412109,0.2007286101579666
2,0.9566110968589783,0.14602075517177582,0.9649999737739563,0.11973004043102264
3,0.9714999794960022,0.09564629197120667,0.9729999899864197,0.09299200773239136
4,0.9780185222625732,0.07529246062040329,0.9778333306312561,0.07976454496383667
5,0.9814814925193787,0.0633169636130333,0.9804999828338623,0.07215464860200882
