Model,Accuracy,Macro-P,Macro-R,Macro-F1,Params,Train Samples,Best Epoch,Train Time,Prediction Time
NumPy CNN,0.779,0.7842865141096979,0.7742184978897872,0.7732903142044171,3418,6000,3,49.09278059999997,4.158550099999957
Keras CNN,0.982,0.981863830108486,0.9820934334011604,0.9819351500982141,52138,54000,5,51.01937679999992,1.0538743999995859
PyTorch CNN,0.9767,0.9770420501032302,0.97638580947951,0.9766090361054589,52138,54000,5,148.4071426999999,2.184678399999939
