Epoch,TrainLoss,Accuracy,Macro-P,Macro-R,Macro-F1
1,0.7396923367869798,0.9178333333333333,0.9174602957888978,0.917303642045599,0.9172048137139717
2,0.20843710217148206,0.947,0.9472180069582199,0.9465314375988587,0.9467189721717688
3,0.13597189255447184,0.9618333333333333,0.9625095054208511,0.9613263513617053,0.9616838292979113
4,0.10159205384022817,0.9696666666666667,0.9699615084162483,0.9694359248714847,0.9696097862407106
5,0.08352598870146613,0.9721666666666666,0.9725976978649763,0.9718685579839071,0.9720881194335517
