Model,Accuracy,Macro-P,Macro-R,Macro-F1,Params,Time
M1 Basic CNN,0.982,0.981863830108486,0.9820934334011604,0.9819351500982141,52138,51.01937679999992
M2 Basic CNN + BatchNorm + Dropout,0.9851,0.9849118991206005,0.9851559749063397,0.984999748718006,52210,36.99547410000014
