model_family,key,test_loss,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_class0_recall,test_class1_prediabetes_recall,test_class2_diabetes_recall,trainable_parameter_count,best_epoch,epochs_run,early_stopping_activated,training_time_seconds,test_inference_time_seconds,test_inference_ms_per_sample,checkpoint_path,confusion_matrix_figure,train_loss,train_accuracy,validation_loss,validation_accuracy,prediction_path
MajorityClassBaseline,majority_baseline,,0.8423998738568275,0.2807999579522758,0.3333333333333333,0.3048197754860428,0.7703404212555267,1.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,,results/figures/diabetes/confusion_matrices/majority_baseline_confusion_matrix.png,,,,,
BasicCNN1D,basic,0.7610322833061218,0.6952853798866272,0.44880556826228757,0.5039416469934982,0.4392044243552869,0.7556976861333113,0.732678209327718,0.2517985611510791,0.5273481705016975,2787,5,5,False,6.467587099999946,0.09247149999964677,0.0024301350783046036,models/checkpoints/diabetes_basic.keras,results/figures/diabetes/confusion_matrices/basic_confusion_matrix.png,0.7610107064247131,0.6950657963752747,0.7623946070671082,0.6936297416687012,results/metrics/diabetes_basic_test_predictions.csv
AlexNetInspired1D,alexnet_inspired,0.8147128224372864,0.6079838275909424,0.48021874134164744,0.5015983426481785,0.4074886081348575,0.7089282846842978,0.6542505069411948,0.5093525179856115,0.3411920030177292,29635,3,5,False,12.364384299999983,0.14651649999996152,0.0038504283611889394,models/checkpoints/diabetes_alexnet_inspired.keras,results/figures/diabetes/confusion_matrices/alexnet_inspired_confusion_matrix.png,0.8155077695846558,0.6060278415679932,0.8178543448448181,0.6039367318153381,results/metrics/diabetes_alexnet_inspired_test_predictions.csv
VGGInspired1D,vgg_inspired,0.8303156495094299,0.6793335676193237,0.43216599360575336,0.49205764965568405,0.4261218265509286,0.7355126020812299,0.6920293245983465,0.10647482014388489,0.6776688042248208,38299,1,3,True,10.209813099999792,0.19192720000000918,0.005043813728582182,models/checkpoints/diabetes_vgg_inspired.keras,results/figures/diabetes/confusion_matrices/vgg_inspired_confusion_matrix.png,0.8301346302032471,0.6782954931259155,0.8305703401565552,0.6786239743232727,results/metrics/diabetes_vgg_inspired_test_predictions.csv
ResNetInspired1D,resnet_inspired,0.77972012758255,0.712393581867218,0.43208481841781704,0.4933111603803734,0.4355880367811073,0.7562174322364005,0.7358290438309156,0.0920863309352518,0.6520181063749528,44387,1,3,True,11.513357099999666,0.25109470000006695,0.00659872542836295,models/checkpoints/diabetes_resnet_inspired.keras,results/figures/diabetes/confusion_matrices/resnet_inspired_confusion_matrix.png,0.7796850204467773,0.7130411863327026,0.7801058292388916,0.7138126492500305,results/metrics/diabetes_resnet_inspired_test_predictions.csv
