model_family,key,trainable_parameter_count,epochs_run,best_epoch,early_stopping_activated,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,test_loss,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,training_time_seconds,test_inference_time_seconds,test_inference_ms_per_sample,checkpoint_path,confusion_matrix_figure,error_grid_figure,prediction_path
BasicCNN2D,basic,25957,5,5,False,3.5180723667144775,0.05672554299235344,0.01895984063252431,0.05645840645840646,0.023655185264306256,3.528869390487671,0.0625,0.025966615783732837,0.06216216216216216,0.028678946401759692,3.5536844730377197,0.04715181142091751,0.016036068491466642,0.0477561249310848,0.019786570011475612,20.747897400000056,6.525365899999997,1.7785134641591704,models/checkpoints/oxford_pets_basic.keras,results/figures/oxford_pets/confusion_matrices/basic_confusion_matrix.png,results/figures/oxford_pets/errors/basic_top_confusion_errors.png,results/metrics/oxford_pets_basic_test_predictions.csv
AlexNetInspired2D,alexnet_inspired,263653,5,5,False,3.574445962905884,0.040421195328235626,0.006025983176813149,0.041325785244704163,0.009417619667507598,3.584007978439331,0.03804347664117813,0.003985356012383039,0.03883357041251778,0.006921055112010443,3.5861895084381104,0.04088307544589043,0.007782492202624145,0.04119759814899726,0.01154122103439295,36.932364000000234,7.808554799999911,2.128251512673729,models/checkpoints/oxford_pets_alexnet_inspired.keras,results/figures/oxford_pets/confusion_matrices/alexnet_inspired_confusion_matrix.png,results/figures/oxford_pets/errors/alexnet_inspired_top_confusion_errors.png,results/metrics/oxford_pets_alexnet_inspired_test_predictions.csv
VGGInspired2D,vgg_inspired,308293,5,5,False,3.6108455657958984,0.027173912152647972,0.0007344300822561692,0.02702702702702703,0.0014300014300014298,3.610856771469116,0.027173912152647972,0.0007344300822561692,0.02702702702702703,0.0014300014300014298,3.610884189605713,0.027255382388830185,0.0007366319713008184,0.02702702702702703,0.0014341749550027608,70.05517899999995,9.499182500000188,2.589038566366909,models/checkpoints/oxford_pets_vgg_inspired.keras,results/figures/oxford_pets/confusion_matrices/vgg_inspired_confusion_matrix.png,results/figures/oxford_pets/errors/vgg_inspired_top_confusion_errors.png,results/metrics/oxford_pets_vgg_inspired_test_predictions.csv
ResNetInspired2D,resnet_inspired,327973,5,5,False,3.520859718322754,0.045516304671764374,0.004692969818844189,0.04527027027027027,0.007828849850729703,3.5283331871032715,0.03804347664117813,0.004213382180100283,0.03783783783783783,0.006659469561635923,3.5458426475524902,0.043336059898138046,0.005067269759029816,0.04311766311766312,0.00801150610214376,95.51247580000017,10.635546099999829,2.8987588171163337,models/checkpoints/oxford_pets_resnet_inspired.keras,results/figures/oxford_pets/confusion_matrices/resnet_inspired_confusion_matrix.png,results/figures/oxford_pets/errors/resnet_inspired_top_confusion_errors.png,results/metrics/oxford_pets_resnet_inspired_test_predictions.csv
