model_family,key,checkpoint_path,parameter_count,epochs_run,best_epoch,early_stopping_activated,train_loss_best_epoch_history,train_loss_final_epoch_history,train_accuracy_best_epoch_history,train_accuracy_final_epoch_history,validation_loss_best_epoch_history,validation_accuracy_best_epoch_history,training_time_seconds,history_path,history_figure,learning_rate,batch_size,max_epochs,patience,seed
BasicCNN1D,basic,models/checkpoints/diabetes_basic.keras,2787,5,5,False,0.9611514210700989,0.9611514210700989,0.602615237236023,0.602615237236023,0.7623946070671082,0.6936297416687012,6.467587099999946,results/metrics/diabetes_basic_history.csv,results/figures/diabetes/training_curves/basic_history.png,0.01,512,5,2,42
AlexNetInspired1D,alexnet_inspired,models/checkpoints/diabetes_alexnet_inspired.keras,29635,5,3,False,0.9591865539550781,0.9598854780197144,0.5837331414222717,0.5928335189819336,0.8178543448448181,0.6039367318153381,12.364384299999983,results/metrics/diabetes_alexnet_inspired_history.csv,results/figures/diabetes/training_curves/alexnet_inspired_history.png,0.01,512,5,2,42
VGGInspired1D,vgg_inspired,models/checkpoints/diabetes_vgg_inspired.keras,38299,3,1,True,0.9956778883934021,0.9627701044082642,0.5856760144233704,0.5994278788566589,0.8305703401565552,0.6786239743232727,10.209813099999792,results/metrics/diabetes_vgg_inspired_history.csv,results/figures/diabetes/training_curves/vgg_inspired_history.png,0.01,512,5,2,42
ResNetInspired1D,resnet_inspired,models/checkpoints/diabetes_resnet_inspired.keras,44387,3,1,True,1.008546233177185,0.9636178612709045,0.5691084265708923,0.5912454128265381,0.7801058292388916,0.7138126492500305,11.513357099999666,results/metrics/diabetes_resnet_inspired_history.csv,results/figures/diabetes/training_curves/resnet_inspired_history.png,0.01,512,5,2,42
