model_family,key,trainable_parameter_count,epochs_run,best_epoch,early_stopping_activated,train_loss_best_epoch_history,train_loss_final_epoch_history,train_eval_loss_best_weights,validation_loss,test_loss,test_accuracy,macro_precision,macro_recall,macro_f1,training_time_seconds,inference_time_seconds,inference_ms_per_sample,checkpoint_path,confusion_matrix_figure,error_grid_figure,prediction_path
BasicCNN2D,basic,24202,6,6,False,0.7636974453926086,0.7636974453926086,0.7138546109199524,0.7440199851989746,0.7068184614181519,0.7397530674934387,0.7440310922956278,0.7262666666666667,0.7256237764314195,365.38902289999896,40.820163199998206,10.079052641974865,models/checkpoints/eurosat_basic.keras,results/figures/eurosat/confusion_matrices/basic_confusion_matrix.png,results/figures/eurosat/errors/basic_top_confusion_errors.png,results/metrics/eurosat_basic_test_predictions.csv
AlexNetInspired2D,alexnet_inspired,260170,4,2,True,2.2965095043182373,2.296535015106201,2.295532703399658,2.2955191135406494,2.2955191135406494,0.1111111119389534,0.01111111111111111,0.1,0.02,677.5849220000018,82.13756970000031,20.280881407407485,models/checkpoints/eurosat_alexnet_inspired.keras,results/figures/eurosat/confusion_matrices/alexnet_inspired_confusion_matrix.png,results/figures/eurosat/errors/alexnet_inspired_top_confusion_errors.png,results/metrics/eurosat_alexnet_inspired_test_predictions.csv
VGGInspired2D,vgg_inspired,304810,4,2,True,2.296510934829712,2.296535015106201,2.2955422401428223,2.2955219745635986,2.2955219745635986,0.1111111119389534,0.01111111111111111,0.1,0.02,1071.4206587000008,64.26723669999774,15.868453506172282,models/checkpoints/eurosat_vgg_inspired.keras,results/figures/eurosat/confusion_matrices/vgg_inspired_confusion_matrix.png,results/figures/eurosat/errors/vgg_inspired_top_confusion_errors.png,results/metrics/eurosat_vgg_inspired_test_predictions.csv
ResNetInspired2D,resnet_inspired,324490,4,2,True,2.2965128421783447,2.2965354919433594,2.295516014099121,2.295525074005127,2.295525074005127,0.1111111119389534,0.01111111111111111,0.1,0.02,1467.5920408999991,16.271885199999815,4.01774943209872,models/checkpoints/eurosat_resnet_inspired.keras,results/figures/eurosat/confusion_matrices/resnet_inspired_confusion_matrix.png,results/figures/eurosat/errors/resnet_inspired_top_confusion_errors.png,results/metrics/eurosat_resnet_inspired_test_predictions.csv
