Feature,MeanAttention,StdAttention
categorical__customer_state_SP,0.49056965,0.10075123
categorical__primary_category_luggage_accessories,0.49019215,0.1051391
categorical__customer_city_osasco,0.4899708,0.079299934
categorical__primary_category_home_appliances,0.4889579,0.080901876
categorical__customer_city_santos,0.48883256,0.082142115
categorical__primary_category_Unknown,0.48824182,0.10749593
categorical__customer_city_sao carlos,0.48737887,0.08098615
categorical__customer_state_MG,0.4855954,0.07366607
categorical__customer_city_valinhos,0.48522884,0.11562853
categorical__primary_category_telephony,0.48429075,0.1198362
categorical__customer_city_salvador,0.48393574,0.08451406
numeric__order_count,0.48369887,0.09624618
categorical__customer_state_MT,0.48352847,0.06691927
categorical__customer_city_sao paulo,0.48299482,0.08935069
categorical__primary_category_bed_bath_table,0.48263744,0.0671846
categorical__primary_payment_type_voucher,0.48252434,0.12009985
categorical__customer_city_florianopolis,0.48095787,0.08923386
categorical__customer_city_aracaju,0.48094666,0.08803871
categorical__primary_category_auto,0.48082337,0.09162788
categorical__customer_city_curitiba,0.48074016,0.09635774
numeric__avg_payment_installments,0.48063338,0.07622172
categorical__customer_city_Other,0.48038936,0.07632114
categorical__customer_city_guarulhos,0.47979587,0.07091914
categorical__customer_state_GO,0.47929367,0.0797147
categorical__customer_city_atibaia,0.47889045,0.095241666
categorical__customer_city_diadema,0.4777072,0.08495694
categorical__customer_city_jacarei,0.4775853,0.09737848
numeric__avg_review_score,0.4773726,0.08369137
categorical__customer_city_nova iguacu,0.47679156,0.091329925
categorical__primary_category_perfumery,0.47637567,0.090110086
categorical__customer_state_CE,0.47607967,0.09098337
categorical__customer_city_cuiaba,0.47502494,0.094841175
categorical__primary_category_pet_shop,0.47465765,0.10038231
numeric__avg_order_value,0.47398487,0.09707322
numeric__total_payment_value,0.47333896,0.07522366
categorical__customer_city_joao pessoa,0.47302386,0.094015345
categorical__customer_state_BA,0.47199056,0.07523746
categorical__customer_city_goiania,0.4719693,0.074604586
numeric__category_diversity,0.46986085,0.083784424
categorical__customer_city_suzano,0.46890312,0.09565001
categorical__customer_state_PR,0.46835202,0.09026295
categorical__customer_state_AM,0.46383217,0.079146765
categorical__customer_city_belem,0.4627648,0.07912595
categorical__customer_state_SC,0.46267146,0.09416375
numeric__review_comment_count,0.46169063,0.077344224
numeric__shipped_orders,0.45727694,0.08602366
