,precision,recall,f1-score,support
0,0.10204081632653061,0.05,0.06711409395973154,100.0
1,0.98903888311988,0.9948932219127206,0.9919574148006712,8616.0
accuracy,0.9840523175768702,0.9840523175768702,0.9840523175768702,0.9840523175768702
macro avg,0.5455398497232054,0.5224466109563602,0.5295357543802014,8716.0
weighted avg,0.9788622187463905,0.9840523175768702,0.9813465460438914,8716.0
