,precision,recall,f1-score,support
0,0.09090909090909091,0.05,0.06451612903225806,100.0
1,0.9890300230946882,0.9941961694718514,0.9916063675832127,8615.0
accuracy,0.9833620195065979,0.9833620195065979,0.9833620195065979,0.9833620195065979
macro avg,0.5399695570018895,0.5220980847359257,0.5280612483077354,8715.0
weighted avg,0.978724562025433,0.9833620195065979,0.9809684990972579,8715.0
