Threshold,Accuracy,Precision,Recall,F1,MacroF1,BalancedAccuracy
0.05,0.9881812966150315,0.9886337543053961,0.9995356935577481,0.9940548340548341,0.5065512265512265,0.504767846778874
0.06,0.9881812966150315,0.9886337543053961,0.9995356935577481,0.9940548340548341,0.5065512265512265,0.504767846778874
0.07,0.9881812966150315,0.9886337543053961,0.9995356935577481,0.9940548340548341,0.5065512265512265,0.504767846778874
0.08,0.9881812966150315,0.9886337543053961,0.9995356935577481,0.9940548340548341,0.5065512265512265,0.504767846778874
0.09,0.9879518072289156,0.9886311437758383,0.9993035403366222,0.9939386942215551,0.5063151415033009,0.5046517701683111
0.1,0.9878370625358577,0.98862983806133,0.9991874637260592,0.9938806142477774,0.506199566383148,0.5045937318630296
0.11,0.9877223178427997,0.9887408088235294,0.9989553105049332,0.9938218141925054,0.5149289251142707,0.5094776552524666
0.12,0.9876075731497418,0.9887395151097322,0.9988392338943702,0.9937637140547407,0.5147389998845132,0.5094196169471851
0.13,0.9876075731497418,0.9887395151097322,0.9988392338943702,0.9937637140547407,0.5147389998845132,0.5094196169471851
0.14,0.9874928284566838,0.988738221098598,0.9987231572838073,0.993705607206791,0.5145519186476433,0.5093615786419037
0.15,0.9873780837636259,0.9887369267900241,0.9986070806732443,0.9936474936474936,0.5143676064728696,0.5093035403366222
0.16,0.987263339070568,0.988735632183908,0.9984910040626813,0.9935893733756859,0.514185991035669,0.5092455020313407
0.17,0.9869191049913941,0.9887317465792802,0.9981427742309924,0.9934149722735675,0.5136566386791566,0.5090713871154962
0.18,0.9868043602983362,0.9887304507819688,0.9980266976204295,0.9933568251400844,0.5134851352591179,0.5090133488102148
0.19,0.9865748709122203,0.9887278582930756,0.9977945443993036,0.9932405107169681,0.5131491809783187,0.5088972721996518
0.2,0.9862306368330465,0.9887239673225175,0.9974463145676147,0.9930659886744482,0.5126620265952886,0.5087231572838073
0.21,0.9860011474469306,0.9887213718494648,0.9972141613464887,0.992949607027277,0.5123478193866544,0.5086070806732443
0.22,0.9857716580608147,0.9887187751813054,0.9969820081253628,0.9928331984741648,0.5120415992370824,0.5084910040626813
0.23,0.9856569133677567,0.9887174763988027,0.9968659315147997,0.992774984104965,0.5118913680214747,0.5084329657573998
0.24,0.985197934595525,0.9887122782768947,0.9964016250725479,0.9925420593166445,0.5113086236432847,0.5082008125362739
0.25,0.9842799770510614,0.9887018676504497,0.9954730121880441,0.9920758864017584,0.5102223403639997,0.507736506094022
0.26,0.9837062535857717,0.9886953512515861,0.9948926291352292,0.991784309187688,0.5095907847308303,0.5074463145676146
0.27,0.9833620195065979,0.9888042474607571,0.9944283226929773,0.9916083106661265,0.5156717050019375,0.5122141613464887
0.28,0.983132530120482,0.9889145496535797,0.9940800928612884,0.9914905933429812,0.5215517482843938,0.5170400464306442
0.29,0.9827882960413081,0.9889107080974934,0.9937318630295995,0.9913154238073182,0.5209741675998616,0.5168659315147998
0.3,0.9817555938037866,0.9888991674375578,0.9926871735345328,0.9907895499044198,0.5193468707605932,0.5163435867672664
0.31,0.9806081468732071,0.9889995368226031,0.9914103308183401,0.9902034664657121,0.5230346941267108,0.52070516540917
0.32,0.9792312105565117,0.9889842300556586,0.9900174114915844,0.9895005510760485,0.5209282860092285,0.5200087057457922
0.33,0.9778542742398164,0.9889688806316768,0.9886244921648288,0.9887966564114471,0.5190288700776448,0.5193122460824144
0.34,0.9768215720022949,0.9889573404626293,0.9875798026697621,0.9882680915321176,0.5177189514264362,0.518789901334881
0.35,0.9752151462994837,0.9889393410175806,0.9859547301218804,0.987444780283655,0.5158462839471373,0.5179773650609402
0.36,0.9733792312105565,0.9889186982386563,0.9840975043528729,0.9865022108447754,0.5139122624471811,0.5170487521764364
0.37,0.9715433161216294,0.9888979782634101,0.9822402785838653,0.9855578849289541,0.5121587874257174,0.5161201392919327
0.38,0.9693631669535284,0.988987816307404,0.9799187463726059,0.984432394612559,0.5137215736503655,0.5199593731863029
0.39,0.9660355708548479,0.988950276243094,0.9765525246662797,0.9827122999649573,0.5108366694629981,0.5182762623331398
0.4,0.9612162937464143,0.989010989010989,0.971561230412072,0.9802084553226373,0.5099905912976823,0.520780615206036
0.41,0.9561675272518646,0.9891859774212716,0.9662217063261753,0.9775689958896066,0.5112844979448032,0.5281108531630877
0.42,0.9471026965002869,0.9894357743097238,0.9567034242600116,0.97279433461198,0.5111394353472271,0.5383517121300059
0.43,0.9357429718875502,0.989427633977397,0.9450957632037145,0.966753740204227,0.5055611704434104,0.5375478816018573
0.44,0.9173838209982789,0.9893392835006818,0.926407428903076,0.9568397074691284,0.49713643127467116,0.533203714451538
0.45,0.893631669535284,0.9893075356415478,0.9021474172954149,0.9437192641612531,0.4885436779617527,0.5310737086477074
0.46,0.8689615605278256,0.9891347034952219,0.8770748694138131,0.9297403716008367,0.4793259681133435,0.5235374347069065
0.47,0.8387837062535858,0.9892779587404995,0.8460824143934997,0.91209409998123,0.47055983506317894,0.5280412071967499
0.48,0.7990820424555364,0.989586305278174,0.8052234474753337,0.887936,0.45892644875346256,0.5376117237376669
0.49,0.7538726333907056,0.9903000909366475,0.7584445734184562,0.8590021691973969,0.44573924427393524,0.559222286709228
0.5,0.7016637980493402,0.990699951052374,0.7048171793383633,0.8236570808464461,0.4278374756428805,0.5674085896691816
0.51,0.6439472174411933,0.9910905203136137,0.6456181079512479,0.7818935826245871,0.40655715659484115,0.5728090539756239
0.52,0.5778542742398164,0.9916334661354582,0.5778293673824725,0.7301796846351302,0.3803731097747456,0.5789146836912362
0.53,0.5116465863453815,0.991875423155044,0.51015670342426,0.6737697378506822,0.35148340907132647,0.5750783517121301
0.54,0.4393574297188755,0.9926023778071335,0.43609982588508417,0.6059677419354839,0.317297986275893,0.578049912942542
0.55,0.37751004016064255,0.9925880172946263,0.3730702263493906,0.5423099637222644,0.28478238010391504,0.5665351131746953
0.56,0.31554790590935167,0.9929315476190477,0.3098084735925711,0.4722640007077767,0.2493521733586215,0.5599042367962855
0.57,0.26069994262765345,0.9922937443336355,0.25409170052234475,0.4045836798817115,0.21485047210911118,0.5420458502611724
0.58,0.2172117039586919,0.9933957072096863,0.20951828206616366,0.3460506134969325,0.18560032818316188,0.5447591410330819
0.59,0.17544463568559954,0.9937802349689012,0.1669181659895531,0.28582786722321607,0.1552646393662226,0.5384590829947766
0.6,0.14262765347102696,0.9939498703543648,0.1334881021474173,0.23536635284486288,0.1298273393892635,0.5317440510737087
0.61,0.11635111876075732,0.9945887445887446,0.10667440510737086,0.19268267113953244,0.10838036737815553,0.5283372025536854
0.62,0.09581181870338497,0.9946164199192463,0.08578061520603598,0.15793973071169054,0.090862828685875,0.522890307603018
0.63,0.07837062535857717,0.9949066213921901,0.06802089378990134,0.12733594089526293,0.07545984985439053,0.5190104468949507
0.64,0.06540447504302926,0.9957805907172996,0.05478816018572258,0.10386181098030586,0.06368009623466797,0.5173940800928613
0.65,0.054962707974756164,0.9973753280839895,0.04410911201392919,0.08448199199644287,0.053979198511856716,0.5170545560069646
0.66,0.04670109007458405,0.9967637540453075,0.03575159605339524,0.06902734199910354,0.046152514169079166,0.5128757980266976
0.67,0.04027538726333907,0.9960474308300395,0.029251305861868835,0.056833558863328824,0.03997949842255439,0.5096256529309344
