Threshold,Accuracy,Precision,Recall,F1,MacroF1,BalancedAccuracy
0.05,0.9880665519219736,0.9887446881819226,0.9993035403366222,0.9939960743563099,0.5155165556966734,0.5096517701683111
0.06,0.9879518072289156,0.9887433953595222,0.9991874637260592,0.993937994342128,0.515317621024275,0.5095937318630296
0.07,0.9877223178427997,0.9887408088235294,0.9989553105049332,0.9938218141925054,0.5149289251142707,0.5094776552524666
0.08,0.9873780837636259,0.9887369267900241,0.9986070806732443,0.9936474936474936,0.5143676064728696,0.5093035403366222
0.09,0.9868043602983362,0.9887304507819688,0.9980266976204295,0.9933568251400844,0.5134851352591179,0.5090133488102148
0.1,0.9868043602983362,0.988842880147228,0.9979106210098665,0.993356057542319,0.5214714172009116,0.5139553105049333
0.11,0.9864601262191623,0.988839028880451,0.9975623911781776,0.9931815555298741,0.5207843261520338,0.5137811955890887
0.12,0.9857716580608147,0.9888313183649972,0.9968659315147997,0.9928323699421965,0.5194931080480213,0.5134329657573998
0.13,0.9853126792885829,0.9888261720999885,0.9964016250725479,0.9925994449583718,0.5186877821806785,0.5132008125362739
0.14,0.985197934595525,0.9888248847926268,0.9962855484619849,0.9925411968777104,0.5184928206610774,0.5131427742309924
0.15,0.9849684452094091,0.9889349930843707,0.995937318630296,0.9924238042912498,0.5249888805628911,0.517968659315148
0.16,0.9842799770510614,0.9889273356401385,0.9952408589669182,0.9920740526468036,0.5236232332199535,0.5176204294834591
0.17,0.9840504876649455,0.9889247808029534,0.9950087057457923,0.9919574148006712,0.5231895917540771,0.5175043528728961
0.18,0.9833620195065979,0.9890300230946882,0.9941961694718514,0.9916063675832127,0.5280612483077354,0.5220980847359257
0.19,0.9823293172690764,0.9890186105652525,0.9931514799767847,0.991080736707981,0.5260281732320393,0.5215757399883924
0.2,0.980837636259323,0.9890020838156981,0.9916424840394661,0.9903205239668463,0.5234088495540447,0.520821242019733
0.21,0.9791164658634538,0.9889829525687116,0.9899013348810215,0.9894419306184012,0.5207626319758673,0.5199506674405108
0.22,0.9775100401606426,0.9889650365896155,0.9882762623331399,0.9886205294937297,0.5185821094070591,0.5191381311665699
0.23,0.9754446356855996,0.9890557690068692,0.9860708067324434,0.9875610323180656,0.5203291887254045,0.5230354033662217
0.24,0.9725760183591509,0.9890238206445586,0.9831688914683692,0.9860876651725945,0.5169482150564167,0.5215844457341846
0.25,0.9710843373493976,0.9890071336685767,0.9816598955310505,0.9853198182453687,0.5153871818499571,0.5208299477655253
0.26,0.9689041881812966,0.9889826535396156,0.9794544399303541,0.9841954860908614,0.5132991564729925,0.519727219965177
0.27,0.9663798049340218,0.9889541715628672,0.9769007544979686,0.9828905109489051,0.5111173866219936,0.5184503772489844
0.28,0.9648881239242685,0.9889372719783452,0.9753917585606501,0.9821178120617111,0.5099268305591574,0.517695879280325
0.29,0.963740676993689,0.9890394814378315,0.9741149158444573,0.9815204678362573,0.5119723551302499,0.5220574579222287
0.3,0.961675272518646,0.989016180465336,0.9720255368543238,0.9804472544198571,0.5103385697386642,0.5210127684271619
0.31,0.9601835915088928,0.988999290276792,0.9705165409170052,0.9796707481399027,0.5092259557874029,0.5202582704585026
0.32,0.9580034423407917,0.9889745109662123,0.9683110853163087,0.9785337243401759,0.5076879148016669,0.5191555426581543
0.33,0.9563970166379805,0.9889561809761311,0.9666860127684271,0.9776942944353134,0.5066136446795857,0.5183430063842136
0.34,0.953184165232358,0.9890358717673698,0.963319791062101,0.9760084675996707,0.5068721583281373,0.5216598955310505
0.35,0.950889271371199,0.98900967626329,0.9609982588508416,0.974802778758978,0.505419407397507,0.5204991294254208
0.36,0.9481353987378084,0.9890952666267225,0.9580963435867673,0.9733490566037736,0.5058234644720996,0.5240481717933837
0.37,0.9440045897877223,0.9891657638136512,0.9538015089959373,0.9711618012055313,0.5052659399728444,0.5269007544979687
0.38,0.9390705679862307,0.9892277898813846,0.9486941381311665,0.9685370622741009,0.5041600320412095,0.5293470690655833
0.39,0.931956397016638,0.989385065885798,0.9412652350551364,0.9647254773660103,0.5033643541918905,0.5356326175275682
0.4,0.9239242685025818,0.9895345973898054,0.9329077190946025,0.9603871661588098,0.5018386047244265,0.5414538595473012
0.41,0.9140562248995984,0.9894225983076157,0.9229251305861869,0.9550177166536544,0.49676431403927906,0.5364625652930934
0.42,0.8992541594951233,0.9893738140417457,0.9078351712130006,0.9468523002421307,0.49100856770348295,0.5339175856065003
0.43,0.8831899024670109,0.9894343512433965,0.8913522925130586,0.9378358573522227,0.48599572753759146,0.5356761462565293
0.44,0.8627653471026965,0.9895737099115745,0.8703424260011607,0.9261363636363636,0.48003102511381995,0.5401712130005804
0.45,0.8401606425702811,0.9892953929539295,0.8474753337202554,0.912910284463895,0.4710892885734109,0.5287376668601277
0.46,0.8138841078600115,0.9895002099958001,0.820429483459083,0.8970681558573423,0.463486231038719,0.5352147417295414
0.47,0.7871485943775101,0.9895712630359212,0.7930354033662217,0.8804691023906179,0.4548865658473236,0.5365177016831109
0.48,0.7537578886976477,0.9901500227307167,0.7584445734184562,0.8589457079006179,0.44526707777702373,0.5542222867092281
0.49,0.71061388410786,0.9901850362027353,0.714335461404527,0.8299393122049898,0.42996965610249493,0.5521677307022634
0.5,0.6686173264486518,0.9905773513791332,0.6711549622751015,0.8001660669803488,0.41519384611609783,0.5605774811375508
0.51,0.6227194492254733,0.9909677419354839,0.6240278583865351,0.7658119658119659,0.39795023069359353,0.5670139291932675
0.52,0.5770510613884108,0.9912298186167032,0.5772489843296575,0.7296068075117371,0.3795480061781961,0.5686244921648288
0.53,0.5288582903040734,0.9914977109221713,0.5279164248403947,0.6889865171943645,0.3589208839519599,0.5689582124201973
