Threshold,Accuracy,Precision,Recall,F1,MacroF1,BalancedAccuracy
0.05,0.9881812966150315,0.9887459807073955,0.9994196169471852,0.9940541476649541,0.5157186626175237,0.5097098084735926
0.06,0.9881812966150315,0.9887459807073955,0.9994196169471852,0.9940541476649541,0.5157186626175237,0.5097098084735926
0.07,0.9881812966150315,0.9887459807073955,0.9994196169471852,0.9940541476649541,0.5157186626175237,0.5097098084735926
0.08,0.9880665519219736,0.9887446881819226,0.9993035403366222,0.9939960743563099,0.5155165556966734,0.5096517701683111
0.09,0.9876075731497418,0.9887395151097322,0.9988392338943702,0.9937637140547407,0.5147389998845132,0.5094196169471851
0.1,0.98714859437751,0.9888467287570426,0.9982588508415554,0.9935304990757856,0.5221889783514522,0.5141294254207777
0.11,0.9870338496844521,0.9888454461821528,0.9981427742309924,0.993472358615909,0.5219462633415679,0.5140713871154962
0.12,0.9865748709122203,0.9888403129314312,0.9976784677887406,0.9932397295891836,0.5210101086970308,0.5138392338943703
0.13,0.9863453815261044,0.988837744533947,0.9974463145676147,0.9931233747471829,0.5205616873735914,0.5137231572838074
0.14,0.9863453815261044,0.988950276243094,0.9973302379570517,0.9931225798994394,0.5280573529418457,0.5186651189785259
0.15,0.9861158921399885,0.9889477319825005,0.9970980847359258,0.9930061846136061,0.5275108442447876,0.5185490423679628
0.16,0.9856569133677567,0.9889426399447132,0.9966337782936738,0.9927733132913222,0.526461844615586,0.5183168891468369
0.17,0.9848537005163511,0.9889337175792507,0.995821242019733,0.9923655292076344,0.5247541931752457,0.5179106210098665
0.18,0.9846242111302352,0.9890439395686772,0.9954730121880441,0.9922480620155039,0.5308462532299741,0.522736506094022
0.19,0.9837062535857717,0.989033822001616,0.9945443993035403,0.9917814561870587,0.5287854649356346,0.5222721996517702
0.2,0.9833620195065979,0.9890300230946882,0.9941961694718514,0.9916063675832127,0.5280612483077354,0.5220980847359257
0.21,0.9820998278829605,0.9890160712221066,0.9929193267556587,0.9909638554216867,0.5256024096385542,0.5214596633778293
0.22,0.980837636259323,0.9890020838156981,0.9916424840394661,0.9903205239668463,0.5234088495540447,0.520821242019733
0.23,0.9790017211703959,0.9889816747854326,0.9897852582704585,0.9893833033590532,0.520598387430822,0.5198926291352293
0.24,0.9769363166953529,0.9889586238958624,0.987695879280325,0.9883268482490273,0.5178601065889686,0.5188479396401625
0.25,0.9748709122203099,0.98893547635686,0.9856065002901915,0.987268182082437,0.5154681521765897,0.5178032501450958
0.26,0.9721170395869191,0.9889044615743985,0.9828206616366802,0.9858531757582815,0.5126894337289432,0.5164103308183401
0.27,0.9689041881812966,0.9888680571830326,0.979570516540917,0.9841973292903377,0.5098922589512187,0.5147852582704585
0.28,0.9674125071715434,0.9889658410611574,0.9779454439930354,0.9834247694642232,0.5119826550023818,0.5189727219965177
0.29,0.9662650602409638,0.9889528734281349,0.9767846778874056,0.9828311142256482,0.511023400250079,0.5183923389437028
0.3,0.9639701663798049,0.9889268465072447,0.9744631456761462,0.9816417212347989,0.5092257685928595,0.5172315728380731
0.31,0.9621342512908778,0.9889059365041898,0.9726059199071387,0.980688202247191,0.5078879607727182,0.5163029599535693
0.32,0.9609868043602984,0.9888928276025051,0.971445153801509,0.9800913455908186,0.5070911273408638,0.5157225769007545
0.33,0.9596098680436029,0.9888770559697078,0.9700522344747533,0.979374194304465,0.506170613635749,0.5150261172373767
0.34,0.9577739529546758,0.9889718961223763,0.9680789320951828,0.9784138901923979,0.5075315524260419,0.5190394660475914
0.35,0.9560527825588067,0.9890684410646388,0.9662217063261753,0.9775115965004991,0.5088059235635327,0.5231108531630877
0.36,0.9542168674698795,0.9890476190476191,0.9643644805571677,0.9765501028504261,0.507552159858948,0.5221822402785838
0.37,0.9519219736087206,0.9890214797136038,0.9620429483459083,0.9753456899087967,0.5060636495520995,0.5210214741729542
0.38,0.9482501434308663,0.9889793962625779,0.9583284968078932,0.9734127218062842,0.5038369818881528,0.5191642484039466
0.39,0.9442340791738382,0.9890506557574299,0.9541497388276262,0.9712867777383907,0.5035005317263382,0.5220748694138131
0.4,0.9379231210556511,0.9894519883608147,0.9473012188044109,0.9679179268220364,0.5068866530053744,0.5386506094022054
0.41,0.929776247848537,0.9895999021167258,0.938827626233314,0.9635453895639743,0.5051371807632955,0.5444138131166569
0.42,0.9163511187607574,0.9894488579940417,0.9252466627974463,0.9562713694439445,0.49789853057177463,0.5376233313987231
0.43,0.9014343086632243,0.9892758011607368,0.91015670342426,0.9480684360074966,0.4909071088923872,0.53007835171213
0.44,0.8823866896156053,0.9890463917525774,0.8908879860708068,0.9374045801526718,0.48292029955500887,0.5204439930354033
0.45,0.8651749856569134,0.9892162019989479,0.8731282646546721,0.9275541032122819,0.47864080057393615,0.526564132327336
0.46,0.8395869191049914,0.9895536562203229,0.8466627974463146,0.9125484799199299,0.47220221779930016,0.5383313987231573
0.47,0.8136546184738955,0.9894972692900154,0.820197330237957,0.896928154353897,0.463398366304786,0.5350986651189785
0.48,0.7799196787148595,0.9899049012435991,0.7853743470690656,0.8758576051779935,0.4535853682455624,0.5476871735345328
0.49,0.7434308663224326,0.9898633082475811,0.7481137550783518,0.8521750628057649,0.4408444758473269,0.5440568775391759
0.5,0.7014343086632243,0.9900570497147514,0.7050493325594893,0.8235932203389831,0.4263488489754617,0.5475246662797446
0.51,0.6624211130235227,0.9906590555267255,0.6647707486941381,0.7956376771325369,0.41298034153264945,0.562385374347069
0.52,0.6157200229489386,0.9914147069802165,0.6165989553105049,0.7603234809990697,0.39578222068466645,0.5782994776552525
0.53,0.5656913367756741,0.9918533604887984,0.5652930934416716,0.7201478743068392,0.3754388539267871,0.5826465467208357
0.54,0.5173838209982788,0.9926256983240224,0.5156123041207197,0.6786860198624904,0.35478079794967843,0.5928061520603598
0.55,0.45863453815261046,0.9934160546973917,0.4553685432385374,0.6244826488379497,0.327448887098794,0.5976842716192687
0.56,0.41009753298909923,0.993465909090909,0.40591990713871157,0.5763494025545941,0.30271672205161243,0.5879599535693558
0.57,0.36018359150889273,0.9928640934155044,0.35531050493325594,0.5233373226192511,0.2752764770807351,0.567655252466628
0.58,0.30946643717728056,0.9927893738140418,0.3036564132327336,0.4650666666666667,0.2456401294498382,0.5568282066163668
0.59,0.26104417670682734,0.9923042100497963,0.25443993035403367,0.4050258684405026,0.21507726967287014,0.5422199651770168
0.6,0.2117039586919105,0.9921037789058094,0.20417875798026697,0.33865999229880633,0.18154243579723048,0.5320893789901335
0.61,0.16718301778542743,0.9913106444605359,0.15890887986070806,0.2739095638255302,0.14879228527569222,0.519454439930354
0.62,0.13103843947217442,0.9905838041431262,0.12211259431224608,0.2174227549860494,0.12031978714090294,0.511056297156123
0.63,0.10097532989099255,0.9887218045112782,0.09158444573418456,0.1676404971847445,0.09517112797368696,0.5007922228670922
0.64,0.07997705106138842,0.9885433715220949,0.07011027278003483,0.13093431606329936,0.07680309172253218,0.5000551363900174
0.65,0.06551921973608721,0.9896049896049897,0.055252466627974464,0.10466138962181179,0.06372978288386005,0.5026262333139873
