Threshold,Accuracy,Precision,Recall,F1,MacroF1,BalancedAccuracy
0.05,0.9880665519219736,0.9887446881819226,0.9993035403366222,0.9939960743563099,0.5155165556966734,0.5096517701683111
0.06,0.9880665519219736,0.9887446881819226,0.9993035403366222,0.9939960743563099,0.5155165556966734,0.5096517701683111
0.07,0.9880665519219736,0.9887446881819226,0.9993035403366222,0.9939960743563099,0.5155165556966734,0.5096517701683111
0.08,0.9877223178427997,0.9887408088235294,0.9989553105049332,0.9938218141925054,0.5149289251142707,0.5094776552524666
0.09,0.9873780837636259,0.9888492930221865,0.9984910040626813,0.9936467598475223,0.5226854488892784,0.5142455020313407
0.1,0.9870338496844521,0.9888454461821528,0.9981427742309924,0.993472358615909,0.5219462633415679,0.5140713871154962
0.11,0.9870338496844521,0.9888454461821528,0.9981427742309924,0.993472358615909,0.5219462633415679,0.5140713871154962
0.12,0.9869191049913941,0.9888441633122484,0.9980266976204295,0.9934142114384749,0.5217071057192374,0.5140133488102148
0.13,0.9866896156052782,0.9888415966869896,0.9977945443993036,0.9932978969262769,0.5212391123975647,0.5138972721996518
0.14,0.9861158921399885,0.9888351749539595,0.9972141613464887,0.993006993006993,0.520125543747591,0.5136070806732443
0.15,0.9857716580608147,0.9888313183649972,0.9968659315147997,0.9928323699421965,0.5194931080480213,0.5134329657573998
0.16,0.9853126792885829,0.9888261720999885,0.9964016250725479,0.9925994449583718,0.5186877821806785,0.5132008125362739
0.17,0.9848537005163511,0.9888210210902386,0.995937318630296,0.9923664122137404,0.5179223365416529,0.512968659315148
0.18,0.9846242111302352,0.9889311656866137,0.9955890887986071,0.9922489588153632,0.5242934934921887,0.5177945443993035
0.19,0.9835915088927137,0.9890325559916878,0.9944283226929773,0.9917231000752446,0.5285412885997138,0.5222141613464887
0.2,0.9823293172690764,0.9890186105652525,0.9931514799767847,0.991080736707981,0.5260281732320393,0.5215757399883924
0.21,0.9814113597246127,0.989008446141386,0.9922228670922809,0.990613049020744,0.5243762919522325,0.5211114335461404
0.22,0.978657487091222,0.9889778396565727,0.9894370284387696,0.9892073807589649,0.5201138944611151,0.5197185142193848
0.23,0.9756741250717155,0.9889444897009193,0.9864190365641323,0.9876801487680149,0.51636259690653,0.5182095182820662
0.24,0.974411933448078,0.9890442890442891,0.9850261172373767,0.9870311136958418,0.519047471741538,0.5225130586186884
0.25,0.972346528973035,0.9890212567157206,0.9829367382472431,0.985969610525703,0.5167002202826143,0.5214683691236216
0.26,0.9709695926563396,0.9890058479532163,0.9815438189204875,0.985260704922808,0.5152718618953663,0.5207719094602438
0.27,0.9695926563396443,0.9889903958772547,0.9801508995937319,0.984550807438932,0.5139360535389605,0.5200754497968659
0.28,0.9674125071715434,0.9889658410611574,0.9779454439930354,0.9834247694642232,0.5119826550023818,0.5189727219965177
0.29,0.9660355708548479,0.988950276243094,0.9765525246662797,0.9827122999649573,0.5108366694629981,0.5182762623331398
0.3,0.9650028686173264,0.9889385737820664,0.975507835171213,0.9821772921171039,0.5100160908535046,0.5177539175856065
0.31,0.9641996557659208,0.988929454716759,0.9746952988972722,0.9817607856892319,0.5093989113631344,0.5173476494486361
0.32,0.9631669535283993,0.9890330188679245,0.9735345327916425,0.9812225797016672,0.5115068122388933,0.5217672663958213
0.33,0.9619047619047619,0.9890187743535246,0.9722576900754498,0.9805666120346523,0.5105145198901585,0.5211288450377249
0.34,0.9611015490533563,0.9890096903805247,0.971445153801509,0.9801487380687475,0.5099043973629857,0.5207225769007545
0.35,0.9600688468158348,0.9889979888796877,0.9704004643064422,0.9796109678931334,0.5091425005211523,0.5202002321532211
0.36,0.9586919104991394,0.9889823480630258,0.9690075449796866,0.9788930581613509,0.5081631066207823,0.5195037724898433
0.37,0.9569707401032702,0.9889627343935438,0.967266395821242,0.9779942491637814,0.5069919831937159,0.518633197910621
0.38,0.955249569707401,0.988943050766853,0.9655252466627975,0.9770938564548338,0.5058736609006842,0.5177626233313988
0.39,0.9528399311531842,0.9889153754469606,0.9630876378409751,0.975830638047633,0.5043859072591106,0.5165438189204875
0.4,0.9507745266781411,0.9888915432393693,0.9609982588508416,0.9747453935362336,0.5031740511699226,0.5154991294254208
0.41,0.9471026965002869,0.9888489208633093,0.9572838073128265,0.9728103804187556,0.5011420323146409,0.5136419036564133
0.42,0.9438898450946643,0.9890467019740009,0.9538015089959373,0.9711044141109733,0.5033036863454274,0.5219007544979687
0.43,0.9397590361445783,0.9891172914147521,0.9495066744051074,0.9689073141841872,0.5028022809453045,0.5247533372025537
0.44,0.9333333333333333,0.9890430971512053,0.943006384213581,0.9654762612157585,0.4993770657160323,0.5215031921067905
0.45,0.9224325874928284,0.9890353578908464,0.9318630295995357,0.95959837437246,0.4955584995071469,0.5209315147997678
0.46,0.9071715433161216,0.9892203559789421,0.9160766105629715,0.9512445006930633,0.4923486541697097,0.5280383052814858
0.47,0.8885829030407344,0.989247311827957,0.8970400464306443,0.9408899981737383,0.4863971426561613,0.5285200232153221
0.48,0.8606999426276535,0.9896784438269154,0.8681369704004643,0.9249319812020776,0.47995406691264453,0.5440684852002322
0.49,0.8259323006310958,0.9900579950289975,0.832269297736506,0.9043324714637069,0.4699666171685985,0.556134648868253
0.5,0.7837062535857716,0.9898107714701602,0.7893209518282066,0.878269292864062,0.45455881095645256,0.5446604759141033
0.51,0.7370051635111876,0.9903831239336125,0.7411491584445734,0.8478289735758864,0.4399617840852405,0.5605745792222867
0.52,0.6867469879518072,0.9909894877356916,0.6893789901334881,0.8131161007667032,0.4228585464854069,0.574689495066744
0.53,0.6351118760757315,0.9911440448219773,0.636564132327336,0.7752332485156913,0.403155929559491,0.573282066163668
0.54,0.5799196787148594,0.9910785091197463,0.5802669762042948,0.7319715938209239,0.38057078762910423,0.5651334881021475
0.55,0.5280550774526678,0.9912701876909646,0.5272199651770169,0.688338258695158,0.35834347378414877,0.5636099825885084
0.56,0.4732071141709696,0.9912109375,0.4712710388856645,0.6388167728738887,0.33297058181732153,0.5556355194428323
0.57,0.4300631095811819,0.9929729729729729,0.42646546720835754,0.5966707267559886,0.3128026165549249,0.5832327336041787
0.58,0.3857716580608147,0.9933454325468845,0.3811955890887986,0.5509604898917876,0.2896388944285585,0.5805977945443993
0.59,0.34687320711417097,0.9929173693086003,0.34172954149738827,0.5084628670120898,0.2677357070103184,0.5658647707486941
0.6,0.31095811818703384,0.9931972789115646,0.30504933255948924,0.4667436284521801,0.24666408201665577,0.5625246662797446
0.61,0.2816982214572576,0.9937106918238994,0.2751015670342426,0.4309090909090909,0.2286738300579669,0.5625507835171213
0.62,0.2502581755593804,0.993361782835467,0.2431804991294254,0.3907124207385304,0.2081805467844158,0.5515902495647127
0.63,0.22352266207687893,0.9925373134328358,0.21613464886825304,0.3549709274616338,0.1898791804046892,0.5380673244341265
0.64,0.2010327022375215,0.9922526817640047,0.19326755658734765,0.32352083940542115,0.17395041549926374,0.5316337782936739
0.65,0.17487091222030982,0.9917127071823204,0.16668601276842715,0.2854019676040942,0.15464614465449722,0.5233430063842136
0.66,0.15559380378657486,0.9929356357927787,0.146836912362159,0.25583982202447164,0.13998727608318132,0.5284184561810795
0.67,0.13436603557085486,0.9926402943882244,0.1252466627974463,0.22242836528550813,0.12311894454751597,0.5226233313987232
0.68,0.12036718301778543,0.9937565036420395,0.11085316308763785,0.19945697577276525,0.11169691161951224,0.5254265815438189
0.69,0.10694205393000573,0.9928909952606635,0.09727219965177017,0.17718574902209536,0.10038562322513625,0.5186360998258851
0.7,0.09294320137693632,0.9958100558659218,0.08276262333139872,0.15282392026578073,0.0883887473905765,0.5263813116656993
0.71,0.08055077452667814,0.9966996699669967,0.07011027278003483,0.13100531395727144,0.07744077367981735,0.5250551363900174
0.72,0.07125645438898451,0.9980879541108987,0.060591990713871155,0.11424819435325016,0.06906331570050352,0.5252959953569356
0.73,0.06161790017211704,0.9977220956719818,0.050841555426581544,0.09675281643472498,0.06019589245805017,0.5204207777132908
0.74,0.054962707974756164,0.9973753280839895,0.04410911201392919,0.08448199199644287,0.053979198511856716,0.5170545560069646
0.75,0.04842226047045324,0.9969135802469136,0.03749274521183982,0.07226759145318268,0.04779319980149418,0.5137463726059199
0.76,0.043373493975903614,0.9964285714285714,0.03238537434706906,0.0627318718381113,0.042965232931357934,0.5111926871735345
0.77,0.04004589787722318,0.9960159362549801,0.02901915264074289,0.05639521768554027,0.039757627525628614,0.5095095763203714
0.78,0.0348823866896156,0.9951456310679612,0.02379570516540917,0.046479990930733475,0.0347395889140832,0.5068978525827046
0.79,0.03132530120481928,0.9942857142857143,0.020197330237957053,0.039590443686006824,0.031253555176336746,0.5050986651189785
0.8,0.02983362019506598,0.9938271604938271,0.01868833430063842,0.03668679503247123,0.029784516203396137,0.5043441671503192
0.81,0.026735513482501434,0.9925925925925926,0.015554265815438189,0.03062857142857143,0.026719815668202765,0.5027771329077191
0.82,0.024670109007458405,0.9914529914529915,0.013464886825304702,0.02656894182317911,0.024666397791332027,0.5017324434126523
0.83,0.022948938611589215,0.9901960784313726,0.011723737666860128,0.023173110014913387,0.022948887154822697,0.5008618688334301
0.84,0.021686746987951807,0.989010989010989,0.01044689495066744,0.02067539627842867,0.021685703641277608,0.5002234474753338
0.85,0.020654044750430294,1.0,0.009286128845037725,0.018401380103507763,0.020648886960740714,0.5046430644225188
0.86,0.019506597819850834,1.0,0.00812536273940801,0.016119746689694875,0.019494979119575852,0.504062681369704
0.87,0.01835915088927137,1.0,0.006964596633778294,0.0138328530259366,0.018338471058942027,0.5034822983168892
0.88,0.0174411933448078,1.0,0.006035983749274521,0.011999538479289258,0.017411386265777234,0.5030179918746372
0.89,0.016867469879518072,1.0,0.005455600696459663,0.010851997229277302,0.016831108103689745,0.5027278003482298
0.9,0.01629374641422834,1.0,0.004875217643644805,0.009703130414693312,0.016250174577003555,0.5024376088218224
0.91,0.015605278255880666,1.0,0.004178757980266976,0.008322737255808578,0.01555218762779038,0.5020893789901335
0.92,0.015261044176706828,1.0,0.0038305281485780615,0.007631822386679001,0.015202839000217206,0.501915264074289
0.93,0.01491681009753299,1.0,0.003482298316889147,0.006940427993059572,0.014853253268015272,0.5017411491584446
0.94,0.014113597246127367,1.0,0.002669762042948346,0.005325306783977773,0.014036629734118095,0.5013348810214742
0.95,0.013654618473895583,1.0,0.00220545560069646,0.004401204540189946,0.013569406271913982,0.5011027278003483
