Model,Accuracy,Precision,Recall,F1,MacroF1,BalancedAccuracy,ROC-AUC,Params,Train Time,Threshold,Checkpoint
M4 Residual MLP Feature Attention,0.9839357429718876,0.9890363531448355,0.9947765525246662,0.9918981481481481,0.5292824074074074,0.5223882762623331,0.5907394080092861,124859,15.293665599998349,0.2,pipeline04/customer_behavior/models/m4_attention_residual_mlp_best.keras
M3 Residual MLP,0.9835915088927137,0.9890325559916878,0.9944283226929773,0.9917231000752446,0.5285412885997138,0.5222141613464887,0.6004492164828787,96129,12.186189099998955,0.19,pipeline04/customer_behavior/models/m3_residual_mlp_best.keras
M1 Basic MLP,0.9833620195065979,0.9890300230946882,0.9941961694718514,0.9916063675832127,0.5280612483077354,0.5220980847359257,0.5915037724898433,30081,8.1427517000011,0.18,pipeline04/customer_behavior/models/m1_basic_mlp_best.keras
M2 BatchNorm MLP,0.9806081468732071,0.9889995368226031,0.9914103308183401,0.9902034664657121,0.5230346941267108,0.52070516540917,0.6034695298897272,30657,9.58046319999994,0.31,pipeline04/customer_behavior/models/m2_batchnorm_mlp_best.keras
