Framework,Accuracy,Precision,Recall,F1,MacroF1,BalancedAccuracy,ROC-AUC,Params,Train Time,Threshold
PyTorch,0.9846242111302352,0.9890439395686772,0.9954730121880441,0.9922480620155039,0.5308462532299741,0.522736506094022,0.5988067324434126,30081,64.88148379999984,0.18
Keras,0.9833620195065979,0.9890300230946882,0.9941961694718514,0.9916063675832127,0.5280612483077354,0.5220980847359257,0.5915037724898433,30081,8.1427517000011,0.18
