,precision,recall,f1-score,support
0,0.11363636363636363,0.05,0.06944444444444445,100.0
1,0.9890439395686772,0.9954730121880441,0.9922480620155039,8615.0
accuracy,0.9846242111302352,0.9846242111302352,0.9846242111302352,0.9846242111302352
macro avg,0.5513401516025204,0.522736506094022,0.5308462532299741,8715.0
weighted avg,0.9789991022085818,0.9846242111302352,0.9816593802304086,8715.0
