Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.7445699391833188,0.7270481144343303,0.7964387464387465,0.7601631543167913,0.8208441135708511
SVM,0.743773530263539,0.7340954942837928,0.7774928774928775,0.7551712210307852,0.8170936186027469
Logistic Regression,0.7450043440486533,0.7379591836734694,0.7726495726495727,0.7549060542797494,0.8173844752834742
Decision Tree,0.7344338256588474,0.717888715548622,0.7866096866096867,0.7506797172376292,0.8058893234541056
KNN,0.7228496959165943,0.7089005235602094,0.7715099715099715,0.738881309686221,0.7855528667881435
Improved DNN,0.7208224732117,0.6609031733116355,0.9256410256410257,0.7711844291478757,0.8192380259665302
