Model,Accuracy,Precision,Recall,F1,ROC-AUC
Teacher DL Baseline,0.7177092383434694,0.7088184129532985,0.7545584045584045,0.7309735734492514,0.7803963268333115
Improved DNN,0.7208224732117,0.6609031733116355,0.9256410256410257,0.7711844291478757,0.8192380259665302
