Model,SelectionMetric,ValidationScore,Best Epoch
Keras Basic CNN,Validation Macro-F1,0.5096059499705659,3
PyTorch Basic CNN,Validation Macro-F1,0.48934534368003374,3
M4 Residual CNN + SE Attention,Validation Macro-F1,0.46570665939840417,2
M2 Basic CNN + BatchNorm,Validation Macro-F1,0.4519415145432638,2
M1 Basic CNN,Validation Macro-F1,0.43030013446713494,2
M3 Residual CNN,Validation Macro-F1,0.3911670076473621,2
NumPy CNN,Validation Macro-F1,0.2325623983104718,2
