Model,Accuracy,Macro-P,Macro-R,Macro-F1,Params,Train Samples,Best Epoch,Train Time,Pred Time
NumPy CNN,0.2681,0.25999689875276916,0.2681,0.25652672988881536,50694,4000,2,79.8401890999994,9.888721999999689
Keras Basic CNN,0.5097,0.5334820108692419,0.5097,0.5118448930605283,545098,10000,3,34.72790629999963,5.587025800000447
PyTorch Basic CNN,0.4962,0.5124189735956537,0.4962000000000001,0.49553123303577334,545098,10000,3,44.745133700000224,6.343825199999628
