Class,Accuracy,Support
airplane,0.498,1000
automobile,0.661,1000
bird,0.355,1000
cat,0.412,1000
deer,0.555,1000
dog,0.395,1000
frog,0.423,1000
horse,0.608,1000
ship,0.692,1000
truck,0.498,1000
