loss,mae,val_loss,val_mae
0.1382269263267517,0.4018319547176361,0.0879761204123497,0.31607767939567566
0.07227866351604462,0.28340455889701843,0.06737136840820312,0.2731420695781708
0.0577397383749485,0.2507554888725281,0.060191355645656586,0.258492112159729
0.051204681396484375,0.23523052036762238,0.05867147073149681,0.2556193172931671
0.04779067263007164,0.22676533460617065,0.05820353701710701,0.2540116012096405
0.045361850410699844,0.22074192762374878,0.05853746458888054,0.2548258602619171
0.04363391175866127,0.2164272665977478,0.05867421254515648,0.2552632689476013
0.04261161386966705,0.214231938123703,0.05649765580892563,0.2488020956516266
0.042383067309856415,0.21442851424217224,0.054525040090084076,0.24213916063308716
0.040691033005714417,0.20966757833957672,0.054945871233940125,0.24381163716316223
0.03780403733253479,0.20111854374408722,0.054994821548461914,0.24312172830104828
0.03592324256896973,0.1956973373889923,0.05454854294657707,0.24171605706214905
0.03441080078482628,0.1911870241165161,0.054490622133016586,0.24164678156375885
0.03304115682840347,0.18721990287303925,0.05463919788599014,0.2421426773071289
0.03181251138448715,0.18382269144058228,0.054981231689453125,0.242903932929039
0.03069118969142437,0.18070745468139648,0.05537668615579605,0.24382735788822174
0.02949361316859722,0.1772671639919281,0.05576801300048828,0.2448435127735138
0.028409767895936966,0.17414729297161102,0.0563744381070137,0.2458209991455078
