loss,mae,val_loss,val_mae
0.19154146313667297,0.4793074131011963,0.18634851276874542,0.4882725477218628
0.08546563237905502,0.31222599744796753,0.14391277730464935,0.4191642701625824
0.06884551793336868,0.27835720777511597,0.11879356950521469,0.3744674324989319
0.06117647513747215,0.26133474707603455,0.09972455352544785,0.33823561668395996
0.056483156979084015,0.2505124509334564,0.08566474169492722,0.30961060523986816
0.05329880118370056,0.24263069033622742,0.07589586079120636,0.28861549496650696
0.05087593197822571,0.23662756383419037,0.06928035616874695,0.27369049191474915
0.04886433854699135,0.2316197156906128,0.06494058668613434,0.26360833644866943
0.047178108245134354,0.22733764350414276,0.06203976273536682,0.25710996985435486
0.04572160542011261,0.22361013293266296,0.06012941524386406,0.2529999017715454
0.04442321136593819,0.22028473019599915,0.058981459587812424,0.2504875659942627
0.043235860764980316,0.21724767982959747,0.05843350663781166,0.24940696358680725
0.042141180485486984,0.2144392877817154,0.05813269317150116,0.24884170293807983
0.041158586740493774,0.2118925154209137,0.05811623856425285,0.24904200434684753
0.04024607315659523,0.20949850976467133,0.0582229308784008,0.24934010207653046
0.039449192583560944,0.20733016729354858,0.05822204425930977,0.24939684569835663
0.03865473344922066,0.2051634043455124,0.058284711092710495,0.2494589388370514
0.0379190668463707,0.2031392753124237,0.05836113914847374,0.24959643185138702
0.03721453621983528,0.20125412940979004,0.05847993865609169,0.24974539875984192
