epoch,train_loss,val_loss,val_mae_price,val_rmse_price,val_r2
1,0.25099301438347893,0.1155562549829483,108351.484375,183632.984375,0.7673412561416626
2,0.08825713756187921,0.07200455665588379,83949.375,156057.21875,0.8319704532623291
3,0.06424189241815909,0.059955380856990814,75406.40625,132772.53125,0.8783717751502991
4,0.055580629417297245,0.05593755841255188,71238.1640625,127218.4140625,0.8883347511291504
5,0.051952887433979834,0.05325953662395477,68798.3203125,120581.15625,0.8996824622154236
6,0.05002512267701668,0.05260771885514259,67938.640625,120143.3671875,0.9004095792770386
7,0.048530636400341866,0.05347791686654091,67910.6953125,118333.421875,0.9033876061439514
8,0.0481146267970595,0.05207275599241257,66998.40625,115231.6875,0.9083859920501709
9,0.0467886547945621,0.05107389762997627,65768.59375,113795.2890625,0.9106557369232178
10,0.0460653453362719,0.05110927298665047,66273.203125,114836.25,0.9090136885643005
11,0.04536481929898897,0.05128331482410431,66538.2734375,117936.546875,0.9040345549583435
12,0.044902163380257334,0.05131847783923149,66283.734375,115731.3515625,0.9075897932052612
13,0.044559563492803086,0.051386769860982895,66849.1875,115477.2109375,0.9079951643943787
14,0.04402137393729562,0.050993554294109344,66180.625,116161.7265625,0.9069011807441711
15,0.043469400734195945,0.05047253519296646,65355.86328125,116354.078125,0.906592607498169
16,0.04288426425701497,0.05019436404109001,65724.3203125,113518.578125,0.9110897183418274
17,0.04262815896981519,0.05176693946123123,66617.234375,122515.515625,0.8964380621910095
18,0.04214451281836096,0.05090988054871559,65873.984375,118575.1171875,0.9029925465583801
19,0.04198008102477491,0.051529064774513245,65977.375,119159.0390625,0.9020347595214844
20,0.041814358745196074,0.05114893242716789,66660.9140625,124407.9921875,0.8932139277458191
21,0.04082981345182615,0.05235102027654648,67415.1953125,122917.0703125,0.8957580924034119
