loss,mae,val_loss,val_mae
0.15830062329769135,0.4391326904296875,0.09390678256750107,0.3307325541973114
0.07874801009893417,0.29972872138023376,0.07155141234397888,0.28214970231056213
0.06296990811824799,0.26474180817604065,0.062348924577236176,0.2602255046367645
0.05572875216603279,0.24695876240730286,0.05876672640442848,0.2506738603115082
0.052214231342077255,0.23786434531211853,0.05736703425645828,0.2469327747821808
0.05003384128212929,0.2322959452867508,0.05667944997549057,0.2451525628566742
0.04842047765851021,0.22817283868789673,0.05628808215260506,0.24404744803905487
0.047143515199422836,0.22491681575775146,0.05596955120563507,0.24330872297286987
0.04604371264576912,0.22208364307880402,0.055759888142347336,0.24265095591545105
0.04508758336305618,0.21958963572978973,0.05564866214990616,0.2423604130744934
0.04424375295639038,0.21738006174564362,0.055629681795835495,0.24213847517967224
0.04347364231944084,0.21534676849842072,0.05559244751930237,0.2420293390750885
0.04275215044617653,0.21343174576759338,0.05561137571930885,0.24198147654533386
0.04210876300930977,0.21172071993350983,0.0556987002491951,0.2421451061964035
0.04150142893195152,0.21012377738952637,0.055668916553258896,0.2419661581516266
0.040958475321531296,0.20867204666137695,0.055678240954875946,0.24193069338798523
0.04038526117801666,0.2071603685617447,0.05570453777909279,0.24190206825733185
