Framework,MAE,MSE,RMSE,R2,Params,Train Time
PyTorch,65724.3203125,12886467584.0,113518.578125,0.9110897183418274,20353,20.399033900001086
Keras,70218.640625,19151009792.0,138387.171875,0.8678674697875977,20353,14.258908800000427
