loss,mae,val_loss,val_mae
0.1433214545249939,0.4112957715988159,0.08774800598621368,0.31524190306663513
0.07547972351312637,0.2898840308189392,0.06902958452701569,0.27580195665359497
0.059638865292072296,0.2548941671848297,0.06022712215781212,0.25545966625213623
0.05262257903814316,0.2382306307554245,0.058482639491558075,0.25109660625457764
0.049290452152490616,0.2302636057138443,0.056800805032253265,0.24690723419189453
0.046829890459775925,0.22427867352962494,0.0548243410885334,0.24112893640995026
0.044540487229824066,0.2183862179517746,0.054189253598451614,0.23923495411872864
0.04251118004322052,0.21307681500911713,0.05415063723921776,0.23853257298469543
0.04069404676556587,0.2082618921995163,0.054287128150463104,0.23841747641563416
0.03902414068579674,0.20376795530319214,0.05437449738383293,0.23815855383872986
0.037584587931632996,0.199970081448555,0.05447126552462578,0.23845450580120087
0.03618885204195976,0.19615456461906433,0.054658886045217514,0.2390262633562088
0.03485199809074402,0.19248180091381073,0.05478303134441376,0.23929448425769806
