Aspect,A03,A04
Dataset,CDC Diabetes Health Indicators / BRFSS 2015 balanced,BRFSS 2021 Diabetes Health Indicators - Binary Unbalanced
Rows used,"69,057 after duplicate removal in A03 notebook/artifacts","223,243 after duplicate removal"
Features,21,21
Class balance,Approximately balanced,Positive rate 14.96% after duplicate removal
Best/final model,Improved DNN,M3 Residual MLP
F1,0.7711844291478757,0.4577951336737759
ROC-AUC,0.8192380259665302,0.8089090527026153
