Model,Accuracy,Precision,Recall,F1,ROC-AUC,Params,Train Time,Threshold,Checkpoint
M3 Residual MLP,0.7885384936988592,0.3739352640545145,0.6134957077260931,0.46465562863839116,0.8121473352039792,20161,21.544742000000042,0.63,pipeline04/diabetes/models/m3_residual_mlp_best.keras
M1 Basic MLP,0.7802663799796931,0.3653868194842407,0.6364543821121981,0.4642493082860055,0.8134019052954042,3521,15.049730400000044,0.62,pipeline04/diabetes/models/m1_basic_mlp_best.keras
M4 Residual MLP Feature Attention,0.7805948754703458,0.3654156113285747,0.6336594130564983,0.46352683461117195,0.8108411951930357,20623,28.22952930000065,0.62,pipeline04/diabetes/models/m4_attention_residual_mlp_best.keras
M2 BatchNorm MLP,0.7969001970972944,0.38216728037874803,0.5801557197045318,0.4607944184571474,0.8104293684438206,3809,24.570276399999784,0.65,pipeline04/diabetes/models/m2_batchnorm_mlp_best.keras
