,precision,recall,f1-score,support
0,0.9220841110360987,0.8153597640200864,0.8654441089865444,28477.0
1,0.36696364074163257,0.6083832335329341,0.4577951336737759,5010.0
accuracy,0.7843939439185356,0.7843939439185356,0.7843939439185356,0.7843939439185356
macro avg,0.6445238758888656,0.7118714987765102,0.6616196213301602,33487.0
weighted avg,0.8390323728638147,0.7843939439185356,0.8044556249086345,33487.0
