Threshold,Accuracy,Precision,Recall,F1
0.1,0.3481454936391328,0.18497846038584004,0.9858255140746656,0.31150643451930354
0.11,0.36218121005793463,0.1881271222006028,0.9844280295468157,0.31588725176169125
0.12,0.3765454219673894,0.19140412290937378,0.9824316230784588,0.320388033464631
0.13,0.38920742997073404,0.19429928741092636,0.9798362946695948,0.3242921801182728
0.14,0.40094367795496627,0.19712641365154748,0.9778398882012378,0.32810825294748125
0.15,0.413575822731888,0.20022132961718173,0.9752445597923737,0.3322338218791444
0.16,0.4248043958669295,0.20308333333333334,0.9730485126771811,0.33603364473094555
0.17,0.435973242549125,0.20594965675057209,0.9702535436214813,0.3397769776628098
0.18,0.44717195245774355,0.20902469508253244,0.9682571371531243,0.3438253225577768
0.19,0.456787911365944,0.2115628692721782,0.9650628868037533,0.34704573192619714
0.2,0.4665531864062593,0.2142031305585201,0.9616689958075464,0.3503654944175728
0.21,0.47601982918234487,0.2167547783651891,0.9576761828708324,0.3535003684598379
0.22,0.48482948097712475,0.2191686547990457,0.9536833699341186,0.35642603991792576
0.23,0.49471420892313206,0.22210816107507816,0.9502894789379117,0.3600605143721634
0.24,0.5028668697366063,0.2246616825967635,0.9478937911758835,0.3632329877978809
0.25,0.5120647434748851,0.2275132275132275,0.9443002595328409,0.36668087910384123
0.26,0.5200680881562444,0.23008979113800507,0.9413056498303054,0.36978942002274423
0.27,0.5283402018754106,0.23271375464684016,0.9373128368935916,0.37285578144853876
0.28,0.5369109478588067,0.2354334677419355,0.9325214613695348,0.375950742484607
0.29,0.5461984112763543,0.2385132707017814,0.9275304451986425,0.3794511597517151
0.3,0.5546795675804814,0.24150352388410337,0.9235376322619285,0.3828836285383215
0.31,0.5629218180732246,0.2443027888446215,0.9181473347973648,0.3859192749853151
0.32,0.5711939317923909,0.24746110630942092,0.9145538031543222,0.3895242549211343
0.33,0.5785402854924446,0.2500274574409665,0.9089638650429227,0.39217881907058877
0.34,0.5869617153437258,0.2535203397407242,0.9057696146935517,0.39615804409517574
0.35,0.5949650600250851,0.25668449197860965,0.9007785985226592,0.39952184885110903
0.36,0.6025503195365227,0.2594202898550725,0.8933918945897384,0.4020845500696347
0.37,0.610792570029266,0.26322001888574126,0.890397284887203,0.40632259827813966
0.38,0.6180791972764738,0.2663382988947621,0.8852066280694749,0.4094749965369165
0.39,0.6253956877501046,0.2692472591412997,0.8776202834897185,0.4120734908136483
0.4,0.6334288956578868,0.2729091136392049,0.8716310640846476,0.41567096682058363
0.41,0.6414322403392463,0.2767355793772333,0.8658414853264125,0.4194187901938978
0.42,0.6485098250014931,0.279958341469765,0.8586544220403274,0.4222462203023758
0.43,0.6560652212865078,0.2837011433129487,0.8520662806947494,0.42567196928140427
0.44,0.6631726691751777,0.28699551569506726,0.8432820922339789,0.4282455517818219
0.45,0.6715642358000359,0.2912804070537395,0.8342982631263726,0.43180409175449475
0.46,0.6786418204622827,0.2948059360730594,0.8249151527250949,0.43437582128777924
0.47,0.6858388580302216,0.2984124661643134,0.814334198442803,0.4367705321768926
0.48,0.6927969897867766,0.30217391304347824,0.8047514473946895,0.4393699929151452
0.49,0.699098130562026,0.305638665132336,0.7953683369934118,0.44158723121259147
0.5,0.7053992713372753,0.30926944226237235,0.7859852265921342,0.4438807148091775
0.51,0.7119691811503315,0.3131247984521122,0.7754042723098423,0.4461034859013381
0.52,0.7183599116048498,0.3168489065606362,0.7636254741465363,0.44786604999707275
0.53,0.7255270859463656,0.3219213081246806,0.7546416450389299,0.4513163393230255
0.54,0.7324553544764977,0.32635836117460876,0.7410660810541027,0.453152658243301
0.55,0.7391447171952458,0.33118883653497644,0.729686564184468,0.4555936428794017
0.56,0.7446096876306516,0.33429987840239456,0.7135156717907766,0.45528662420382165
0.57,0.7511795974437078,0.3393599535918012,0.7007386703932921,0.4572694111516415
0.58,0.7573015588604193,0.3437875751503006,0.6849670592932721,0.45780238841817333
0.59,0.763065161560055,0.34849269657101417,0.6715911359552805,0.45887327786113763
0.6,0.7697545242788031,0.35467556225115676,0.6580155719704532,0.4609145574045588
0.61,0.776682792808935,0.36174263635345505,0.6448392892792972,0.46348113072176783
0.62,0.7826554380935317,0.36744946839584064,0.6278698342982632,0.46359080188679247
0.63,0.7885384936988592,0.3739352640545145,0.6134957077260931,0.46465562863839116
0.64,0.7936152421907663,0.3793759512937595,0.597125174685566,0.46397269836345306
0.65,0.7984530848712895,0.38461538461538464,0.5789578758235177,0.46218822216909716
0.66,0.8035596965896196,0.3912983234030761,0.5637851866640048,0.46196630132504496
0.67,0.8075315057038762,0.3956091887176505,0.5432222000399282,0.45781105409270634
0.68,0.8120707161201697,0.4018948655256724,0.5250549011778798,0.4552929974898295
0.69,0.8171176013856537,0.40994992731384267,0.5066879616689958,0.45321428571428574
0.7,0.8213283163112943,0.4166666666666667,0.48612497504491914,0.4487238551552566
0.71,0.8241354595950546,0.4195318215069495,0.457975643841086,0.43791161592058797
0.72,0.8292420713133847,0.43044928389248577,0.4380115791575165,0.4341975064318227
0.73,0.832288120408529,0.43638650178159716,0.4156518267119185,0.42576687116564416
0.74,0.835662664994326,0.4445939883355765,0.395687762028349,0.4187176507869441
0.75,0.8382906289195484,0.4507520621057739,0.3709323218207227,0.4069652831015223
0.76,0.8414859941468076,0.4604601957154192,0.3475743661409463,0.39613196814562
0.77,0.8440840948456071,0.4695227142035653,0.32601317628269116,0.38482384823848237
0.78,0.845995341336678,0.47658227848101264,0.3006588141345578,0.36871098053617335
0.79,0.8480857671862868,0.48642061281337046,0.27889798362946694,0.3545235376221292
