accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6837204694747925,0.7695276141166687,0.5734308362007141,0.7022636532783508,0.7999572157859802,0.5410229563713074
0.698540985584259,0.8025766611099243,0.5365196466445923,0.6938422322273254,0.8055083155632019,0.5455197095870972
0.7003263831138611,0.807545006275177,0.5305779576301575,0.6939318180084229,0.8079996109008789,0.5440143346786499
0.7028668522834778,0.810444176197052,0.5270509719848633,0.6966195106506348,0.8092755079269409,0.540264368057251
0.704927384853363,0.8124289512634277,0.5246186256408691,0.6994863748550415,0.8100223541259766,0.5362242460250854
0.7059064507484436,0.8138978481292725,0.5227640271186829,0.700800359249115,0.8104308247566223,0.5343268513679504
0.7064567804336548,0.8150987029075623,0.5212952494621277,0.7032490968704224,0.8107631206512451,0.5308766961097717
0.7069814801216125,0.8160741329193115,0.5200539231300354,0.7035179138183594,0.8108476996421814,0.5297932028770447
0.7082293629646301,0.8169785141944885,0.518926203250885,0.7053096890449524,0.8108351230621338,0.5269085764884949
0.7094131708145142,0.817817747592926,0.5178915858268738,0.7064146399497986,0.8108007907867432,0.5255018472671509
