accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6106290221214294,0.7227588295936584,0.6165696978569031,0.7347548007965088,0.7979362607002258,0.5584615468978882
0.7218468189239502,0.8024454116821289,0.540053129196167,0.7120886445045471,0.8065058588981628,0.5402532815933228
0.7082357406616211,0.807386577129364,0.5311763882637024,0.7045630812644958,0.8088124990463257,0.5374220609664917
0.7044410109519958,0.8095029592514038,0.5281640887260437,0.7035179138183594,0.8102712631225586,0.5346639752388
0.7035387754440308,0.8109758496284485,0.5263103246688843,0.7028310298919678,0.8112006187438965,0.5330461859703064
0.7031227946281433,0.8121246099472046,0.5249454379081726,0.7029803395271301,0.811942994594574,0.5317866802215576
0.7035195231437683,0.8129594922065735,0.5239044427871704,0.7027115821838379,0.8123946189880371,0.5307358503341675
0.7036795020103455,0.8136393427848816,0.5230706334114075,0.7031296491622925,0.8127807378768921,0.5296329855918884
0.7041786909103394,0.814193844795227,0.5223974585533142,0.7035776376724243,0.8129987716674805,0.529136598110199
0.7044218182563782,0.8146541714668274,0.521824836730957,0.704383909702301,0.8131442070007324,0.528446614742279
0.7044858336448669,0.815040111541748,0.5213392376899719,0.7042346000671387,0.8132956624031067,0.5280717611312866
0.7048441767692566,0.815392255783081,0.5208970904350281,0.7041450142860413,0.8134046792984009,0.5277988314628601
