,precision,recall,f1-score,support
0,0.9286502390584774,0.7980124310847351,0.8583893631487497,28477.0
1,0.3619523017193566,0.6514274306248752,0.46534512264689104,5009.0
accuracy,0.7760855282804754,0.7760855282804754,0.7760855282804754,0.7760855282804754
macro avg,0.645301270388917,0.7247199308548051,0.6618672428978204,33486.0
weighted avg,0.8438807841181544,0.7760855282804754,0.799595879284633,33486.0
