epoch,train_loss,val_auc,val_f1,val_recall
1,1.0477327527404556,0.7951597192826905,0.44458350716172995,0.6382511479337193
2,0.9139286957707402,0.8082272361342095,0.45978582820688085,0.604312237971651
3,0.9006212940125744,0.8102186545658977,0.46199593849724396,0.6358554601716909
4,0.8965976214511095,0.8114875613192878,0.4630161957512445,0.6592134158514673
5,0.8938520701373844,0.8123929863703634,0.46401869158878506,0.5947294869235377
6,0.8916499417818476,0.8127342620204655,0.46532405712193337,0.6342583349970053
7,0.8899818584245691,0.813394502109568,0.4659328009209296,0.6464364144539828
8,0.8886635076345909,0.8133299871307251,0.46616878267363704,0.6230784587742064
9,0.887923566480512,0.8138828775199057,0.46573509736881225,0.6254741465362348
10,0.8871725845605435,0.8136973947649226,0.4658206548411975,0.6632062287881813
11,0.8865358273974,0.8138914269376398,0.4661217630433122,0.6091036134957077
12,0.8857022294516358,0.8140349723274032,0.46534512264689104,0.6514274306248752
