Threshold,Accuracy,Precision,Recall,F1
0.1,0.3469808278086364,0.18461423333083887,0.9850269514873228,0.3109500551441626
0.11,0.3619124410201278,0.18796734320158706,0.983629466959473,0.3156208961916659
0.12,0.3764558322881204,0.1913337741646894,0.9820323417847874,0.32026824663064
0.13,0.389326882876426,0.194281641058134,0.9794370133759234,0.3242457288258815
0.14,0.4028847876724601,0.19757022925411688,0.9772409662607306,0.32868893738458954
0.15,0.4145015827510004,0.20025463058031132,0.9734477939708525,0.332175216295388
0.16,0.4266559159051544,0.20346067040040125,0.9718506687961669,0.33647831346120616
0.17,0.43779489936092697,0.20630871912596183,0.9688560590936315,0.3401794476377401
0.18,0.44818730215612496,0.20895457884956134,0.9652625274505889,0.34354128179621995
0.19,0.4596846443289733,0.21223717779537257,0.963266120982232,0.347835490033522
0.2,0.4697485516335185,0.21499798774761883,0.9598722299860252,0.3513079058892299
0.21,0.4782297079376456,0.21737947299197244,0.9568776202834898,0.3542759997043388
0.22,0.48715881263811744,0.21982679196609545,0.9526851666999401,0.35722573642250255
0.23,0.49572955862151347,0.22230535422024783,0.9490916350568975,0.36023338637569147
0.24,0.50510661171833,0.2251485619206085,0.9454981034138551,0.3636922131776993
0.25,0.5136474944753031,0.2277270751847023,0.9415052904771412,0.36674702542966015
0.26,0.522546735949352,0.2305502380601777,0.937712118187263,0.37010479867622725
0.27,0.5307591232156722,0.23328017542111035,0.9345178678378918,0.37335992023928216
0.28,0.5390013737084155,0.23605345752758936,0.9309243361948493,0.376610265315188
0.29,0.5481992474466941,0.23949752883031303,0.9287282890796567,0.3807964637989604
0.3,0.5567102669772442,0.2424988218044719,0.924535835496107,0.3842196963411599
0.31,0.5655199187720241,0.24581690290951722,0.9209423038530645,0.3880546792849632
0.32,0.5731947679627307,0.24846908361783993,0.915352365741665,0.3908447702668144
0.33,0.5805709848892074,0.2511566424322538,0.9103613495707726,0.3936973883013166
0.34,0.5877978856835693,0.25383495689172547,0.9051706927530445,0.3964846311923396
0.35,0.5958012303649286,0.2570663323455665,0.9005789578758235,0.3999645342909075
0.36,0.6033566266499433,0.2599663436430105,0.894390097823917,0.40284147109072926
0.37,0.6101953055008064,0.2625457551068603,0.887801956478339,0.4052490089761699
0.38,0.6181389237293197,0.2658639373871162,0.8816130964264324,0.4085295342060225
0.39,0.624619243863107,0.26828072326080293,0.8738271111998402,0.4105233539673607
0.4,0.6318461446574688,0.2713527022805373,0.8670393292074267,0.4133434852955173
0.41,0.6394612673953294,0.2746874202602705,0.8596526252745059,0.4163403432438965
0.42,0.6473152959445738,0.27810766721044045,0.8508684368137353,0.4191993705124422
0.43,0.654034521889745,0.2810335641981886,0.8424835296466361,0.4214731585518102
0.44,0.6617690975332975,0.284916581545795,0.835296466360551,0.4249009850715954
0.45,0.6691453144597742,0.28891361802754206,0.8293072469554801,0.4285345850312065
0.46,0.6755957713671386,0.2919391526869491,0.8199241365542025,0.43057084447240135
0.47,0.6829421250671922,0.29580541800174776,0.8109403074465962,0.43348807427565234
0.48,0.6900197097294392,0.29942490103816566,0.8003593531643043,0.4358082400260898
0.49,0.697306336976647,0.303548164610315,0.7907766021161908,0.4386975301805294
0.5,0.7035178880726274,0.30665828158163666,0.7787981633060491,0.4400451212633954
0.51,0.7102669772442215,0.3108119003466903,0.769614693551607,0.4427980702963473
0.52,0.7169563399629696,0.31513195995697857,0.7604312237971651,0.44560131024801125
0.53,0.7223615839455295,0.3181201221581269,0.748652425633859,0.44650830505447403
0.54,0.7298273905512752,0.3234831264207029,0.7386703932920743,0.44993007843375693
0.55,0.7366959326285611,0.3285302593659942,0.728289079656618,0.4528020852727611
0.56,0.7423400824225049,0.33240715013429656,0.7165102814933121,0.45413134252815385
0.57,0.7494475303111748,0.33784172661870504,0.7031343581553204,0.4563949721394324
0.58,0.7557188078600012,0.3427863163113535,0.6901577161110002,0.4580628064131443
0.59,0.7624081705787493,0.348576713595725,0.6771810740666799,0.46024423337856174
0.6,0.7684704055426148,0.3541666666666667,0.6652026352565382,0.46223208711937297
0.61,0.7741742817894045,0.3588098661652472,0.647634258334997,0.461779359430605
0.62,0.7805948754703458,0.3654156113285747,0.6336594130564983,0.46352683461117195
0.63,0.7860598459057516,0.3706637858600408,0.6164903174286285,0.46296851574212894
0.64,0.7909574150391209,0.37557805274340705,0.5999201437412657,0.4619523443504996
0.65,0.797527324852177,0.38389930510030157,0.5845478139349172,0.4634377967711301
0.66,0.8024547572119691,0.3897886357397749,0.5669794370133759,0.46197641317608784
0.67,0.8075315057038762,0.39618276460381724,0.5470153723298063,0.459538784067086
