Threshold,Accuracy,Precision,Recall,F1
0.1,0.33578211790001794,0.18252827825061715,0.9890197644240367,0.3081804043545879
0.11,0.35134085886639194,0.18588827907676114,0.9872229986025155,0.3128657745721426
0.12,0.36597383981365345,0.18901924699026149,0.98422838889998,0.3171335756328198
0.13,0.37965119751537957,0.19208531916555982,0.981633060491116,0.3212990492371026
0.14,0.39225347906587826,0.19501431297709923,0.9792373727290876,0.32525446769006333
0.15,0.40497521352206894,0.1981300089047195,0.9772409662607306,0.3294632340568736
0.16,0.4174281789404527,0.20111317254174396,0.9738470752645239,0.3333788955713505
0.17,0.4288657946604551,0.20391811393573286,0.9704531842683171,0.33701944742954204
0.18,0.44060204264468733,0.2071364548209484,0.9688560590936315,0.34130388916238835
0.19,0.45287582870453325,0.2105080027835769,0.9662607306847674,0.34570193921645653
0.2,0.4629695992355014,0.2133957762657948,0.9642643242164105,0.3494555583692074
0.21,0.47288419040793167,0.21616524472384374,0.9610700738670394,0.3529454892041497
0.22,0.48229110673117126,0.21870293459905985,0.956677979636654,0.3560178306092125
0.23,0.491369527563758,0.22134149167941408,0.9532840886404472,0.3592656684974795
0.24,0.5005674013020367,0.2241842068088713,0.9504891195847475,0.36279814066905436
0.25,0.5095562324553545,0.22704228046680697,0.9476941505290477,0.366323262723309
0.26,0.5193812339485158,0.23009495982468955,0.9433020562986624,0.36994989038521764
0.27,0.5285193812339485,0.23288893294345045,0.9381113994809344,0.3731438100532042
0.28,0.5376873917458043,0.23595562279374685,0.9341185865442204,0.3767462458231008
0.29,0.5465567699934301,0.23914269599548788,0.931123976841685,0.38054830287206265
0.3,0.5551872424296721,0.2423642239132701,0.9283290077859853,0.384376937383757
0.31,0.5629815445260706,0.24503311258278146,0.9233379916150928,0.38728856138000334
0.32,0.570925162754584,0.24812960869799236,0.9203433819125574,0.3908767169747329
0.33,0.5782715164546378,0.25086117338290775,0.915951287682172,0.3938535496609151
0.34,0.5863943140416891,0.2542118432026689,0.912757037332801,0.3976689571192485
0.35,0.5943976587230484,0.2573175564739852,0.9073667398682371,0.40093507410021173
0.36,0.6018933285552172,0.2601729106628242,0.9011778798163306,0.40377476631334136
0.37,0.6093292719345398,0.2631578947368421,0.8953883010580954,0.4067658262289135
0.38,0.6170041211252464,0.2661840373339715,0.8882012377720104,0.40961193205358376
0.39,0.6240219793346473,0.26930801533686327,0.8834098622479537,0.41277985074626866
0.4,0.6309502478647793,0.2720392083876171,0.8754242363745258,0.4150889814464218
0.41,0.6386848235083319,0.2755192502532928,0.8686364543821122,0.4183452718619297
0.42,0.6457624081705787,0.2785497317908615,0.8604511878618487,0.42085733815057125
0.43,0.6520336857194051,0.28135079981568034,0.8532641245757636,0.42316831683168316
0.44,0.6586633219853073,0.28454466143211865,0.8464763425833499,0.42591662481165243
0.45,0.6658006331004002,0.28785175017158543,0.837292872828908,0.4284182031768732
0.46,0.6713850564414979,0.29022324865280985,0.8279097624276303,0.4297854699968909
0.47,0.6780146927074001,0.2936593037386518,0.8201237772010381,0.43246657542899253
0.48,0.6844651496147643,0.29681901279707495,0.810341385506089,0.4344894026974952
0.49,0.6915427342770113,0.30059970014992504,0.8005589938111399,0.4370810398386833
0.5,0.6987696350713731,0.30505221130221133,0.7931722898782192,0.44063661065823767
0.51,0.7061159887714269,0.30970384373030874,0.7849870233579557,0.44416831403558316
0.52,0.7129248043958669,0.3136334196891192,0.7734078658414854,0.4462876562409999
0.53,0.7200919787373827,0.3184692179700499,0.7642243960870433,0.44958600035234014
0.54,0.7265125724183241,0.3227680478428022,0.7542423637452585,0.45207610386502334
0.55,0.7327241235143045,0.326616805983282,0.7410660810541027,0.4534017344570661
0.56,0.7391745804216687,0.3311270287424064,0.7290876422439608,0.4554183813443073
0.57,0.7447888669891896,0.3350125944584383,0.7169095627869835,0.4566378433367243
0.58,0.7510004180851699,0.3401210258380559,0.7069275304451986,0.45927367055771723
0.59,0.7575703278982261,0.34533877226146653,0.6929526851666999,0.4609561752988048
0.6,0.7644090067490892,0.35179086043639357,0.6823717308844081,0.4642444821731749
0.61,0.7701726094487248,0.3564790086529217,0.6662008384907168,0.46443980514961725
0.62,0.7760855282804754,0.3619523017193566,0.6514274306248752,0.46534512264689104
0.63,0.7812220032252285,0.3665476327612026,0.6352565382311839,0.4648648648648649
0.64,0.7866571104342113,0.3719563392107473,0.6190856458374925,0.46470852689944553
0.65,0.792241533775309,0.3779142642266232,0.6019165502096226,0.4643104643104643
0.66,0.7980051364749448,0.3850085178875639,0.5865442204032741,0.46487341772151897
0.67,0.8030221585140058,0.39104764520115337,0.5685765621880615,0.4633908232997071
0.68,0.807979454100221,0.39728205869596644,0.5486124975044919,0.4608418581251048
0.69,0.8121603057994385,0.4026151740915311,0.5286484328209223,0.4571034006559641
0.7,0.816699516215732,0.40949174282507617,0.5098822120183669,0.45420593988973856
0.71,0.8206713253299887,0.4151907356948229,0.48672389698542623,0.4481205771528352
0.72,0.8253598518783969,0.42398985323428157,0.46715911359552803,0.44452887537993924
0.73,0.8299587887475363,0.4334305150631681,0.4451986424436015,0.4392357691550128
0.74,0.833841008182524,0.4419820196529375,0.42204032741066083,0.431781045751634
0.75,0.8378426805232038,0.4520828590940132,0.3964863246156918,0.42246330567964263
0.76,0.8401421489577734,0.45765632693254554,0.3711319624675584,0.4098776320141109
0.77,0.8428298393358419,0.46582346609257264,0.34557795967258936,0.3967908309455587
0.78,0.846055067789524,0.47824791418355184,0.3204232381712917,0.38374178123132097
0.79,0.849608791733859,0.4955104755570336,0.29746456378518665,0.3717564870259481
0.8,0.851251269187123,0.5052083333333334,0.2711119984028748,0.35286475250097443
0.81,0.8525951143761572,0.5154595510376959,0.24296266719904172,0.3302578018995929
0.82,0.85462581377292,0.533748204882719,0.22259932122180076,0.3141730064806988
0.83,0.8553723944334946,0.5460599334073252,0.19644639648632461,0.2889443547203054
0.84,0.8559397957355313,0.5598705501618123,0.17268915951287683,0.2639609398840403
0.85,0.8560293854148002,0.571320182094082,0.1503294070672789,0.23802750118539592
0.86,0.85632801767903,0.5911602209944752,0.12816929526851667,0.2106644790812141
0.87,0.8561787015469151,0.6083052749719416,0.10820523058494709,0.18372881355932202
0.88,0.8556113002448784,0.6211699164345403,0.0890397284887203,0.15575344857691636
0.89,0.8545660873200741,0.6275229357798165,0.06827710121780795,0.12315448325531149
0.9,0.8537299169802306,0.6397984886649875,0.05070872429626672,0.09396966333703292
