Framework,Accuracy,Precision,Recall,F1,ROC-AUC,Params,Train Time,Threshold
PyTorch,0.7760855282804754,0.3619523017193566,0.6514274306248752,0.46534512264689104,0.8140349723274032,3521,201.63744829999996,0.62
Keras,0.7802663799796931,0.3653868194842407,0.6364543821121981,0.4642493082860055,0.8134019052954042,3521,15.049730400000044,0.62
