accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.5478978753089905,0.7373128533363342,0.6221722364425659,0.6990085244178772,0.786953866481781,0.5817345380783081
0.6797530055046082,0.7987098693847656,0.5429558753967285,0.7310518026351929,0.8001885414123535,0.5135520100593567
0.6969603896141052,0.8066825270652771,0.5311320424079895,0.730872631072998,0.8051472902297974,0.5007797479629517
0.7019197344779968,0.80991530418396,0.5272817015647888,0.7260347604751587,0.8075865507125854,0.5031543970108032
0.7043386697769165,0.8117710947990417,0.5251524448394775,0.7209579944610596,0.8088464736938477,0.5101472735404968
0.706053614616394,0.8130321502685547,0.5236664414405823,0.7163292169570923,0.8096114993095398,0.5174680352210999
0.7073654532432556,0.8140279650688171,0.5225195288658142,0.7133130431175232,0.8099831342697144,0.5229938626289368
0.7079477906227112,0.8147706389427185,0.5216313600540161,0.7099384665489197,0.8102365732192993,0.5274795889854431
0.7083957195281982,0.8154087662696838,0.5208721160888672,0.7075494527816772,0.8103094696998596,0.5303159952163696
0.7089844346046448,0.8159538507461548,0.5202106833457947,0.7059965133666992,0.810370683670044,0.5327828526496887
0.7097203731536865,0.8164455890655518,0.5196111798286438,0.7042346000671387,0.8104285597801208,0.5349539518356323
0.7100659012794495,0.8168885707855225,0.519072949886322,0.704443633556366,0.8104277849197388,0.5350720286369324
