Threshold,Accuracy,Precision,Recall,F1
0.1,0.33676760437197634,0.18251624335499114,0.9870233579556797,0.3080661744088233
0.11,0.3520277130741205,0.18583637664244568,0.9854262327809942,0.31270193221412734
0.12,0.3660932927193454,0.18895281933256616,0.9834298263126372,0.31699861642910004
0.13,0.3795018813832646,0.19207186096465534,0.9818327011379517,0.3212909126543412
0.14,0.3916860777638416,0.19491559086395233,0.979636654022759,0.325139146567718
0.15,0.40524398255987576,0.19822664885218025,0.9774406069075664,0.32960818634711186
0.16,0.4164426924684943,0.20098765432098764,0.975044919145538,0.33327646797911903
0.17,0.42898524756614703,0.20405167351732237,0.9712517468556598,0.33725000866521093
0.18,0.44024368392761154,0.20695540857691488,0.9682571371531243,0.3410209534523977
0.19,0.4506958131756555,0.20976625178888936,0.9656618087442603,0.3446629613795069
0.2,0.46144657468792927,0.2128147462186356,0.9634657616290677,0.3486238532110092
0.21,0.47174938780385833,0.21559303786111608,0.9594729486923538,0.35207501556719534
0.22,0.48124589380636684,0.21822574762946753,0.9556797764024756,0.35531638522917053
0.23,0.4908618527145673,0.22085690438653435,0.9508884008784189,0.3584571966133584
0.24,0.500029863226423,0.22363028218777972,0.9476941505290477,0.3618691873761244
0.25,0.5092874634175476,0.22650002394292007,0.9443002595328409,0.3653638189402132
0.26,0.5186346532879412,0.22947306905619946,0.9407067278897984,0.3689464824022237
0.27,0.527683210894105,0.23243377073533053,0.9371131962467558,0.3724805586414855
0.28,0.5360449142925402,0.2351698113207547,0.9331203833100419,0.3756630766757756
0.29,0.5447351131816281,0.23820971867007673,0.9297264923138351,0.3792499694612973
0.3,0.5534253120707161,0.24111001197480086,0.924535835496107,0.3824743970928312
0.31,0.5618168786955743,0.24417619652689537,0.9207426632062288,0.3859898732058417
0.32,0.5701785820940094,0.24730719517449376,0.9167498502695148,0.3895321711837808
0.33,0.5787194648509825,0.2504936375603335,0.9117588340986225,0.39301234886622777
0.34,0.5861554082303052,0.2529178533534372,0.9041724895188661,0.39526968057252576
0.35,0.5939497103267037,0.2558284999431366,0.8981832701137952,0.39822969683558307
0.36,0.6028190885743295,0.25927646478137156,0.8913954881213815,0.4017094017094017
0.37,0.6106133906707281,0.26259460737937557,0.8866041125973249,0.405182245335523
0.38,0.6182583766350116,0.2658433734939759,0.8810141744859253,0.4084409273913647
0.39,0.6259929522785642,0.26920950801547816,0.8750249550808544,0.4117426021606388
0.4,0.6339664337335006,0.2728754073702682,0.8692353763226193,0.41535893155258763
0.41,0.6407752493579406,0.2755754475703325,0.8604511878618487,0.41745362971572475
0.42,0.6476139282088037,0.2786072895611919,0.853064483928928,0.4200334218028114
0.43,0.6553485038523562,0.28226666666666667,0.8452784987023358,0.423209555699935
0.44,0.662575404646718,0.28561690524880706,0.8364943102415652,0.42583464606941407
0.45,0.6701905273845786,0.2893542757417103,0.8275104811339589,0.4287783179890349
0.46,0.6770590694618647,0.2928117638660861,0.818925933320024,0.431380797139552
0.47,0.6836887057277669,0.29616648411829133,0.809742463565582,0.43370402053036783
0.48,0.6908857432957056,0.300313995215311,0.8019564783389899,0.4369866739189557
0.49,0.6984411395807203,0.3049444231506324,0.7941704931123977,0.4406779661016949
0.5,0.704234605506779,0.30787345945521627,0.7829906168895987,0.441965291863872
0.51,0.7114615063011408,0.31227305737109656,0.7726093032541426,0.4447764624755775
0.52,0.7178522367556591,0.31631217412894147,0.7630265522060291,0.4472267727591856
0.53,0.7243325568894463,0.32040156542453635,0.7518466759832302,0.4493229135596254
0.54,0.7299767066833901,0.3235319856480266,0.7380714713515671,0.44986614748113896
0.55,0.737024428119214,0.3282055922540946,0.7240966260730685,0.45168119551681196
0.56,0.7438332437436541,0.33314633006077604,0.711319624675584,0.45376974019358124
0.57,0.7497162993489817,0.33732149749131607,0.6979437013375923,0.45482339166070385
0.58,0.7546437317087739,0.34027293555134974,0.6819724495907367,0.4540138224348751
0.59,0.7609150092576001,0.3454357916451779,0.668596526252745,0.45552230685527745
0.6,0.7676640984291943,0.35158007498660954,0.6552206029147535,0.45761293920803126
0.61,0.7738457862987517,0.35730186999109526,0.6408464763425834,0.4588008289859215
0.62,0.7800872006211551,0.36363636363636365,0.6268716310640846,0.4602755790090882
0.63,0.7853729916980231,0.3685417672621922,0.6095028947893791,0.4593395019935304
0.64,0.7910171414919668,0.3750157094382305,0.5957276901577161,0.4602807342279809
0.65,0.7969001970972944,0.38216728037874803,0.5801557197045318,0.4607944184571474
0.66,0.8017380397778175,0.3878646119977986,0.5627869834298264,0.45923271157448886
0.67,0.8065460192319178,0.3935969868173258,0.5424236374525854,0.456178643384822
0.68,0.8107268709311354,0.3986888245159323,0.5220602914753444,0.45210926694329184
0.69,0.8156841665173505,0.4064962212574369,0.5046915552006388,0.45030281439258996
0.7,0.8198351549901451,0.41304347826086957,0.48552605310441205,0.4463613838671194
0.71,0.8227020247267515,0.41663672296083365,0.46296666001197845,0.43858156028368794
0.72,0.8269127396523921,0.42448666282863173,0.441605110800559,0.4328767123287671
0.73,0.8312429074837245,0.4346498371335505,0.4262327809942104,0.4304001612740651
